Left IR,Front IR,Right IR,Angle,Throttle
1000,156,1000,90,1
1000,146,224,90,1
1000,110,155,90,1
1000,143,92,90,1
1000,175,96,90,1
1000,139,159,90,1
0,260,112,90,1
1000,1000,189,90,1
1000,168,91,90,1
1000,146,97,90,1
1000,99,97,90,1
1000,206,75,90,1
1000,1000,71,90,1
1000,183,112,90,1
1000,275,106,90,1
1000,1000,85,90,1
1000,114,101,90,1
1000,1000,94,90,1
1000,1000,132,90,1
1000,187,91,90,1
1000,171,94,90,1
1000,298,87,90,1
1000,1000,91,90,1
1000,224,90,90,1
152,226,91,90,1
1000,165,88,90,1
1000,91,94,90,1
1000,166,85,90,1
1000,97,91,90,1
1000,193,90,90,1
0,114,90,90,1
0,210,94,90,1
0,159,66,90,1
1000,1000,66,180,1
0,205,89,180,1
0,226,94,180,1
1000,1000,91,180,1
1000,1000,91,180,1
1000,180,91,180,1
117,1000,95,180,1
112,214,102,180,1
99,281,97,180,1
102,1000,92,180,1
101,1000,109,90,1
102,1000,91,90,1
100,1000,92,90,1
98,107,92,90,1
91,1000,91,90,1
89,179,92,90,1
82,1000,93,90,1
81,1000,91,90,1
78,1000,93,90,1
77,1000,91,90,1
72,288,93,90,1
71,1000,93,90,1
69,263,92,90,1
68,148,64,90,1
67,1000,94,90,1
65,1000,92,90,1
64,216,89,90,1
63,214,93,90,1
59,214,90,90,1
59,126,89,90,1
58,124,93,90,1
59,108,92,90,1
58,1000,92,90,1
58,1000,88,90,1
56,1000,65,90,1
55,220,92,90,1
55,1000,94,90,1
54,1000,110,90,1
53,1000,92,90,1
53,1000,93,90,1
51,1000,93,90,1
51,1000,91,90,1
51,1000,63,90,1
51,167,92,90,1
50,1000,92,90,1
49,263,91,90,1
49,1000,92,90,1
48,192,92,90,1
49,216,91,90,1
48,1000,92,90,1
48,1000,92,90,1
48,247,96,90,1
47,1000,94,45,1
47,1000,92,45,1
47,1000,91,45,1
47,1000,89,45,1
46,1000,95,45,1
47,106,91,45,1
46,249,89,45,1
47,1000,92,45,1
46,1000,86,45,1
46,137,90,45,1
46,1000,90,45,1
46,242,86,45,1
46,1000,85,45,1
46,218,83,45,1
45,252,86,45,1
45,1000,83,45,1
45,1000,87,45,1
45,1000,87,45,1
44,1000,84,45,1
45,1000,85,45,1
44,123,61,45,1
45,104,87,45,1
44,1000,96,45,1
44,1000,96,45,1
44,1000,121,45,1
44,1000,122,45,1
44,1000,138,45,1
44,1000,144,45,1
43,1000,155,45,1
43,230,93,45,1
43,272,173,45,1
43,257,166,45,1
43,237,189,45,1
43,196,175,45,1
42,1000,189,45,1
42,1000,179,45,1
42,1000,173,45,1
42,1000,177,45,1
42,1000,177,45,1
41,272,179,45,1
42,1000,101,45,1
41,210,167,45,1
40,116,187,45,1
40,200,190,45,1
40,119,164,45,1
40,119,168,45,1
39,252,162,45,1
39,1000,135,45,1
39,142,134,45,1
38,1000,115,45,1
39,218,113,45,1
39,1000,95,45,1
38,114,97,45,1
37,192,61,45,1
38,218,59,45,1
38,284,49,45,1
38,263,48,45,1
38,294,47,45,1
38,1000,47,45,1
37,1000,46,45,1
38,1000,46,45,1
38,155,47,45,1
38,220,46,45,1
38,1000,45,45,1
38,212,45,45,1
38,220,46,45,1
37,168,46,45,1
37,1000,45,45,1
38,115,46,45,1
38,186,45,45,1
38,168,46,45,1
38,224,37,90,1
38,1000,44,90,1
38,1000,44,90,1
38,278,45,90,1
39,1000,38,90,1
38,1000,45,90,1
39,254,44,90,1
39,254,38,90,1
39,1000,45,90,1
39,1000,47,90,1
40,183,47,90,1
40,291,49,90,1
41,135,56,90,1
41,284,76,90,1
42,1000,99,90,1
41,203,99,90,1
42,189,108,90,1
43,275,108,90,1
45,156,116,90,1
44,275,121,90,1
45,257,123,45,1
45,228,142,45,1
45,139,150,90,1
45,275,141,90,1
46,1000,132,90,1
47,257,132,90,1
48,216,123,90,1
48,166,124,90,1
50,230,116,90,1
50,275,109,90,1
50,242,79,90,1
50,218,118,90,1
52,247,115,90,1
53,177,102,90,1
53,206,100,90,1
56,275,102,90,1
57,176,107,90,1
59,232,101,90,1
60,186,103,90,1
65,1000,105,90,1
69,272,108,90,1
75,1000,104,90,1
76,1000,105,90,1
93,239,106,90,1
98,139,100,90,1
103,263,105,90,1
120,192,100,90,1
118,284,101,90,1
127,252,101,90,1
134,1000,100,90,1
143,187,99,90,1
149,257,96,90,1
163,269,99,90,1
175,163,100,90,1
146,165,98,90,1
158,247,98,90,1
132,222,102,90,1
147,263,96,90,1
126,129,98,90,1
137,208,99,90,1
119,232,96,135,1
134,269,128,135,1
1000,142,107,135,1
1000,114,97,135,1
160,237,108,90,1
284,162,111,90,1
1000,1000,98,135,1
1000,153,108,135,1
298,244,107,135,1
288,249,109,135,1
298,228,110,135,1
288,135,95,135,1
266,214,1000,135,1
278,218,109,135,1
284,220,113,135,1
257,228,107,135,1
237,232,109,135,1
222,216,116,135,1
179,201,107,135,1
159,186,92,135,1
115,187,106,135,1
138,189,107,135,1
127,176,146,135,1
129,175,113,135,1
143,173,109,135,1
155,172,106,135,1
136,170,115,135,1
180,164,111,135,1
208,160,129,135,1
254,156,110,135,1
180,158,143,135,1
183,162,115,135,1
146,162,115,180,1
156,117,105,180,1
159,152,94,180,1
162,148,95,180,1
98,145,95,180,1
239,156,107,180,1
266,116,103,180,1
1000,159,99,180,1
1000,153,105,180,1
1000,152,107,180,1
1000,158,102,180,1
1000,146,105,180,1
1000,113,104,180,1
1000,127,75,180,1
1000,123,76,180,1
1000,97,109,180,1
1000,109,1000,180,1
1000,112,103,180,1
1000,124,79,180,1
-31885,111,104,180,1
1000,112,105,180,1
1000,116,105,180,1
1000,127,1000,180,1
1000,134,112,180,1
257,125,112,180,1
200,125,114,180,1
1000,130,108,180,1
1000,121,111,180,1
1000,113,112,180,1
121,113,94,180,1
1000,106,108,180,1
0,123,143,180,1
1000,119,160,180,1
0,148,164,180,1
1000,190,125,180,1
1000,212,115,180,1
1000,168,180,180,1
1000,179,131,180,1
1000,1000,153,180,1
1000,1000,114,180,1
1000,1000,164,180,1
1000,1000,288,180,1
1000,1000,210,180,1
1000,1000,189,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,281,180,1
1000,1000,278,180,1
0,0,272,180,1
1000,1000,266,180,1
1000,1000,254,180,1
1000,0,269,180,1
1000,1000,257,180,1
1000,0,242,180,1
1000,1000,242,180,1
1000,1000,230,180,1
1000,1000,232,180,1
1000,1000,235,180,1
1000,142,237,180,1
1000,1000,226,180,1
1000,1000,216,180,1
166,1000,224,180,1
155,1000,228,180,1
136,1000,226,180,1
137,109,244,180,1
113,1000,239,180,1
114,1000,132,180,1
104,1000,224,180,1
102,1000,216,180,1
103,1000,214,180,1
98,1000,222,180,1
106,1000,206,180,1
97,1000,210,180,1
98,208,216,180,1
97,1000,218,180,1
98,1000,220,180,1
94,141,201,180,1
95,1000,210,180,1
93,1000,218,180,1
91,1000,198,180,1
96,1000,187,180,1
96,1000,205,180,1
94,1000,187,180,1
91,1000,183,180,1
91,1000,141,180,1
90,111,135,180,1
91,111,135,180,1
92,111,135,180,1
90,113,128,180,1
88,110,129,180,1
91,1000,138,180,1
88,1000,114,180,1
87,1000,98,180,1
86,1000,91,180,1
88,1000,83,180,1
97,1000,82,180,1
81,1000,77,180,1
81,1000,76,180,1
82,1000,102,180,1
90,1000,79,180,1
104,1000,80,180,1
102,1000,80,180,1
102,1000,62,90,1
103,1000,78,90,1
101,1000,79,90,1
102,117,83,90,1
87,1000,83,90,1
83,1000,110,90,1
108,1000,61,90,1
104,235,85,90,1
87,216,87,90,1
85,284,80,90,1
89,1000,61,90,1
91,1000,124,90,1
97,1000,82,90,1
92,193,84,90,1
75,1000,89,90,1
75,195,105,90,1
93,1000,132,90,1
94,1000,149,90,1
76,1000,140,90,1
74,1000,159,90,1
89,1000,153,90,1
93,226,166,90,1
74,1000,170,90,1
74,1000,189,90,1
70,1000,180,180,1
70,1000,111,180,1
76,1000,168,180,1
82,1000,171,180,1
73,1000,144,180,1
71,1000,142,180,1
61,1000,126,180,1
59,1000,121,180,1
49,1000,106,180,1
47,1000,102,180,1
44,1000,92,180,1
44,1000,101,180,1
44,275,102,90,1
45,1000,86,90,1
50,89,108,90,1
49,111,109,90,1
54,111,109,90,1
51,106,112,90,1
45,1000,139,90,1
47,1000,142,90,1
46,1000,162,90,1
47,1000,166,90,1
55,1000,173,90,1
63,1000,166,90,1
95,0,176,90,1
118,269,164,90,1
180,1000,177,90,1
278,1000,175,90,1
1000,1000,165,90,1
1000,1000,166,90,1
1000,1000,162,90,1
1000,1000,168,90,1
1000,1000,158,90,1
1000,1000,162,90,1
1000,1000,163,90,1
1000,288,162,90,1
1000,1000,155,90,1
1000,269,163,90,1
1000,1000,100,90,1
1000,1000,154,90,1
1000,298,159,90,1
1000,1000,159,90,1
1000,1000,158,90,1
1000,1000,151,90,1
1000,1000,153,90,1
1000,1000,151,90,1
1000,1000,150,90,1
1000,1000,94,90,1
1000,1000,148,90,1
1000,1000,150,90,1
1000,110,149,90,1
1000,1000,150,90,1
1000,1000,152,90,1
1000,1000,163,0,1
1000,1000,171,0,1
291,1000,218,0,1
1000,1000,226,0,1
1000,1000,1000,0,1
226,1000,1000,0,1
244,1000,142,0,1
168,114,132,0,1
266,1000,154,0,1
294,260,132,0,1
1000,244,106,0,1
1000,1000,95,0,1
1000,1000,110,0,1
1000,121,104,0,1
1000,288,98,0,1
1000,244,104,0,1
1000,1000,74,0,1
1000,235,96,0,1
1000,1000,99,0,1
1000,115,99,0,1
1000,116,95,90,1
1000,1000,117,90,1
1000,226,98,90,1
1000,125,99,90,1
1000,298,100,90,1
1000,1000,95,90,1
1000,1000,102,90,1
1000,201,106,90,1
1000,242,94,90,1
1000,278,100,90,1
1000,216,100,90,1
1000,298,95,90,1
1000,1000,96,90,1
1000,1000,98,90,1
1000,1000,135,90,1
1000,1000,102,90,1
1000,119,101,90,1
1000,291,100,90,1
1000,278,102,90,1
1000,1000,97,90,1
1000,1000,123,90,1
1000,1000,101,90,1
1000,252,99,90,1
1000,1000,99,90,1
1000,175,107,90,1
1000,281,102,90,1
208,94,99,90,1
1000,139,118,90,1
1000,147,104,90,1
1000,252,101,90,1
1000,275,100,90,1
1000,220,106,90,1
244,115,106,90,1
1000,291,105,0,1
1000,257,101,0,1
1000,298,110,0,1
1000,111,94,0,1
1000,244,125,0,1
1000,1000,106,0,1
1000,298,107,0,1
1000,1000,98,0,1
1000,269,103,45,1
1000,294,101,45,1
1000,294,101,45,1
1000,1000,102,45,1
1000,1000,108,45,1
1000,1000,77,45,1
1000,1000,97,45,1
1000,118,99,45,1
0,187,118,45,1
1000,112,110,45,1
1000,1000,105,45,1
1000,1000,103,45,1
1000,1000,96,45,1
1000,1000,104,45,1
1000,1000,102,45,1
1000,1000,100,45,1
1000,1000,117,45,1
1000,1000,102,45,1
1000,1000,102,0,1
1000,179,71,0,1
1000,1000,106,0,1
1000,1000,105,0,1
1000,1000,106,0,1
113,109,101,0,1
1000,1000,103,0,1
1000,1000,94,0,1
1000,216,148,0,1
1000,1000,105,0,1
1000,1000,105,0,1
1000,1000,101,0,1
1000,244,107,0,1
1000,1000,100,0,1
135,108,242,0,1
139,281,257,0,1
228,101,97,0,1
99,1000,98,0,1
1000,167,101,0,1
168,1000,96,0,1
136,1000,98,0,1
1000,105,96,0,1
153,1000,67,0,1
96,1000,117,0,1
218,1000,104,0,1
95,111,95,0,1
86,1000,104,0,1
90,1000,108,0,1
105,112,104,0,1
86,1000,105,0,1
83,108,70,0,1
84,298,98,0,1
78,1000,96,0,1
74,1000,102,0,1
84,1000,96,0,1
73,1000,103,0,1
70,1000,73,0,1
85,89,99,0,1
96,1000,123,0,1
97,1000,99,0,1
109,1000,122,0,1
122,1000,96,0,1
120,1000,98,0,1
129,1000,132,0,1
125,172,116,0,1
129,172,96,0,1
126,1000,254,90,1
127,1000,102,90,1
129,1000,152,90,1
125,115,101,90,1
78,1000,1000,90,1
83,1000,106,90,1
68,1000,132,90,1
74,1000,138,90,1
98,193,121,90,1
80,1000,125,90,1
131,1000,208,90,1
80,1000,193,90,1
87,1000,1000,45,1
120,1000,150,45,1
79,1000,136,90,1
58,1000,152,90,1
58,1000,155,90,1
59,192,228,90,1
77,180,200,90,1
71,1000,173,90,1
72,1000,148,90,1
92,1000,158,90,1
81,1000,155,90,1
112,1000,164,90,1
97,1000,154,90,1
94,1000,144,90,1
90,1000,158,90,1
120,1000,167,90,1
114,1000,149,90,1
1000,1000,149,90,1
1000,1000,165,90,1
154,1000,159,90,1
1000,1000,176,90,1
1000,1000,149,90,1
1000,1000,172,90,1
1000,1000,155,90,1
1000,1000,108,90,1
1000,1000,98,90,1
128,111,98,90,1
1000,1000,105,90,1
1000,1000,107,90,1
1000,1000,109,90,1
149,1000,102,90,1
1000,1000,101,90,1
1000,117,97,90,1
0,1000,105,90,1
1000,1000,116,90,1
1000,1000,114,90,1
1000,1000,111,90,1
1000,1000,119,90,1
1000,1000,106,90,1
1000,1000,123,90,1
1000,1000,170,90,1
1000,1000,106,90,1
1000,1000,160,90,1
139,125,107,90,1
122,125,106,90,1
119,111,105,90,1
1000,1000,1000,90,1
1000,1000,160,90,1
179,154,98,90,1
1000,1000,190,90,1
237,110,105,90,1
232,112,81,90,1
239,115,101,90,1
239,115,102,90,1
1000,1000,118,90,1
1000,1000,149,90,1
0,1000,142,90,1
1000,1000,119,90,1
1000,1000,123,90,1
