Left IR,Front IR,Right IR,Angle,Throttle
177,1000,220,90,1
171,1000,222,90,1
165,176,206,90,1
165,1000,220,90,1
164,136,171,90,1
167,1000,230,90,1
167,140,171,90,1
168,1000,228,90,1
170,1000,220,90,1
167,143,168,90,1
170,1000,226,90,1
164,1000,222,90,1
153,186,172,90,1
164,155,176,90,1
214,143,165,90,1
228,166,195,90,1
239,1000,136,90,1
192,1000,180,90,1
257,1000,212,90,1
249,136,165,90,1
232,222,208,90,1
242,1000,212,90,1
252,1000,205,90,1
263,1000,201,90,1
260,109,165,90,1
269,137,177,90,1
269,-31885,128,90,1
275,1000,203,90,1
291,1000,201,90,1
1000,1000,130,45,1
1000,1000,195,45,1
1000,1000,196,0,1
298,139,180,0,1
291,1000,193,0,1
281,1000,198,0,1
269,1000,192,0,1
252,1000,190,0,1
186,1000,193,0,1
173,1000,192,0,1
157,1000,122,45,1
158,1000,195,45,1
153,1000,189,45,1
149,1000,192,45,1
152,1000,187,45,1
153,1000,127,45,1
143,133,151,45,1
145,184,175,45,1
163,183,154,45,1
165,118,155,45,1
146,120,153,45,1
144,1000,164,45,1
141,1000,165,45,1
135,1000,153,45,1
135,1000,145,45,1
132,186,148,45,1
124,1000,142,45,1
126,1000,136,45,1
126,0,101,45,1
124,1000,140,45,1
125,1000,152,45,1
122,1000,156,45,1
127,1000,180,45,1
127,1000,179,45,1
147,1000,214,45,1
156,1000,214,45,1
163,1000,239,45,1
165,1000,230,45,1
160,1000,205,45,1
159,193,212,45,1
187,164,167,45,1
193,145,151,45,1
284,294,98,45,1
288,1000,129,45,1
1000,1000,123,45,1
1000,108,116,45,1
284,1000,117,45,1
1000,1000,83,45,1
1000,1000,105,45,1
1000,201,103,45,1
1000,146,94,45,1
1000,1000,96,45,1
1000,1000,92,45,1
1000,1000,98,45,1
1000,228,260,45,1
1000,1000,257,45,1
298,1000,1000,45,1
1000,1000,1000,45,1
298,1000,1000,0,1
1000,1000,247,0,1
294,1000,1000,45,1
281,1000,1000,45,1
284,1000,1000,45,1
1000,230,1000,45,1
275,1000,1000,45,1
1000,1000,1000,45,1
284,257,1000,45,1
291,1000,1000,45,1
291,1000,1000,90,1
291,1000,1000,90,1
1000,107,144,90,1
275,136,141,90,1
275,100,149,90,1
288,1000,247,90,1
1000,1000,173,90,1
281,1000,183,90,1
272,1000,1000,90,1
266,1000,1000,90,1
263,1000,1000,90,1
239,1000,1000,90,1
254,1000,1000,90,1
232,121,278,90,1
196,212,281,90,1
193,131,1000,90,1
155,1000,1000,90,1
183,1000,1000,90,1
165,1000,1000,90,1
198,1000,1000,90,1
205,1000,1000,90,1
291,1000,1000,90,1
1000,1000,1000,90,1
247,1000,1000,90,1
230,1000,1000,90,1
218,1000,1000,90,1
216,190,1000,90,1
196,198,1000,90,1
193,139,1000,90,1
198,1000,288,45,1
198,1000,1000,45,1
192,1000,1000,90,1
205,220,1000,90,1
193,1000,254,45,1
187,183,1000,45,1
198,1000,1000,45,1
193,1000,1000,45,1
186,284,1000,45,1
180,1000,1000,45,1
183,216,1000,45,1
184,1000,1000,45,1
176,1000,1000,45,1
181,1000,126,45,1
181,239,1000,45,1
168,1000,171,45,1
180,1000,1000,45,1
177,1000,1000,45,1
176,1000,1000,135,1
168,1000,1000,135,1
176,1000,1000,180,1
176,1000,1000,180,1
175,1000,1000,180,1
175,210,1000,180,1
177,1000,1000,180,1
173,1000,1000,180,1
175,284,1000,180,1
193,1000,1000,180,1
189,1000,298,180,1
196,1000,1000,180,1
206,1000,1000,180,1
208,1000,1000,180,1
210,1000,162,180,1
214,1000,281,180,1
206,1000,278,180,1
210,263,291,180,1
203,222,1000,180,1
216,1000,294,180,1
203,1000,275,180,1
200,1000,269,180,1
203,1000,152,180,1
203,1000,260,180,1
203,1000,257,180,1
201,1000,257,180,1
208,1000,266,180,1
201,1000,254,180,1
193,1000,254,180,1
208,1000,252,180,1
208,1000,260,180,1
206,1000,272,180,1
206,1000,269,180,1
205,1000,154,180,1
206,1000,275,180,1
200,1000,257,180,1
205,1000,260,90,1
216,1000,281,90,1
203,1000,272,90,1
205,1000,260,90,1
210,1000,257,90,1
214,168,284,90,1
208,1000,269,90,1
210,1000,266,90,1
206,1000,260,90,1
216,1000,247,90,1
210,1000,257,90,1
208,1000,152,90,1
210,1000,281,90,1
203,1000,257,90,1
208,1000,260,90,1
201,1000,260,90,1
203,1000,284,90,1
210,1000,260,90,1
208,1000,257,135,1
205,1000,244,90,1
210,1000,260,90,1
212,1000,260,90,1
212,1000,263,135,1
206,1000,252,90,1
208,1000,254,135,1
200,1000,252,135,1
205,1000,263,135,1
201,1000,266,135,1
205,1000,266,90,1
206,1000,260,90,1
208,1000,237,90,1
205,1000,232,90,1
203,1000,269,90,1
205,1000,257,90,1
206,278,252,90,1
205,1000,242,90,1
210,1000,263,90,1
212,1000,237,90,1
203,1000,260,90,1
208,1000,257,90,1
220,1000,247,90,1
205,1000,269,90,1
214,1000,141,135,1
206,1000,237,135,1
208,298,239,90,1
200,1000,252,90,1
216,1000,247,90,1
203,1000,247,90,1
