Left IR,Front IR,Right IR,Angle,Throttle
244,1000,220,90,1
198,1000,272,90,1
205,1000,125,90,1
208,1000,172,135,1
186,1000,226,135,1
190,1000,278,180,1
183,1000,278,180,1
176,171,101,180,1
171,179,102,180,1
170,237,210,180,1
165,260,1000,180,1
164,257,254,180,1
159,269,1000,180,1
160,235,1000,180,1
159,183,1000,180,1
160,131,1000,90,1
164,125,1000,90,1
164,107,145,90,1
158,109,118,90,1
157,109,111,90,1
159,111,111,90,1
164,91,114,135,1
158,107,117,135,1
162,110,118,90,1
164,129,1000,90,1
167,126,1000,90,1
164,86,1000,90,1
163,106,237,90,1
157,90,1000,90,1
167,97,1000,90,1
164,94,1000,90,1
163,90,1000,90,1
162,96,1000,90,1
164,81,1000,90,1
166,82,1000,90,1
168,70,1000,90,1
163,64,230,90,1
165,64,1000,90,1
160,68,1000,90,1
165,96,275,90,1
163,60,1000,90,1
165,63,1000,90,1
163,69,1000,90,1
168,68,1000,90,1
166,77,1000,90,1
157,75,1000,90,1
165,67,1000,90,1
167,105,1000,90,1
162,102,1000,90,1
163,87,1000,90,1
166,129,1000,90,1
164,123,1000,90,1
162,249,1000,90,1
164,142,1000,90,1
162,294,1000,90,1
165,1000,1000,90,1
166,1000,184,180,1
155,198,1000,180,1
164,0,1000,180,1
166,1000,1000,180,1
165,0,1000,180,1
165,1000,1000,180,1
163,1000,1000,135,1
167,1000,1000,135,1
171,1000,1000,135,1
176,0,1000,135,1
170,1000,1000,135,1
170,1000,1000,135,1
176,1000,1000,90,1
175,1000,1000,90,1
168,1000,1000,90,1
180,1000,1000,90,1
177,1000,1000,90,1
175,1000,1000,90,1
176,1000,1000,90,1
177,200,291,90,1
181,1000,1000,90,1
181,1000,1000,90,1
187,1000,1000,90,1
190,1000,1000,90,1
193,1000,1000,90,1
220,1000,1000,90,1
218,108,129,90,1
220,110,130,90,1
222,123,135,90,1
232,1000,1000,90,1
252,1000,1000,90,1
247,1000,1000,90,1
252,1000,1000,90,1
269,1000,1000,90,1
284,1000,1000,180,1
257,1000,220,180,1
266,107,129,180,1
254,107,134,180,1
242,108,129,180,1
239,91,127,180,1
230,107,133,180,1
218,1000,1000,180,1
205,1000,1000,180,1
148,1000,1000,180,1
148,1000,1000,180,1
134,0,198,180,1
134,0,1000,180,1
131,-31885,1000,180,1
137,1000,1000,180,1
135,1000,195,180,1
139,1000,1000,180,1
146,1000,1000,180,1
144,1000,1000,180,1
139,1000,201,180,1
138,1000,1000,180,1
137,1000,1000,180,1
136,1000,1000,180,1
129,1000,1000,180,1
135,1000,1000,180,1
129,0,1000,180,1
127,1000,1000,180,1
127,1000,1000,180,1
127,1000,1000,180,1
121,1000,281,180,1
116,1000,1000,180,1
118,1000,1000,180,1
119,1000,205,180,1
117,1000,294,180,1
114,1000,1000,180,1
107,1000,1000,180,1
104,1000,1000,180,1
105,1000,1000,90,1
108,1000,1000,90,1
107,1000,1000,90,1
104,1000,214,90,1
104,1000,1000,90,1
104,1000,1000,90,1
99,1000,1000,90,1
102,1000,1000,90,1
98,1000,198,90,1
98,1000,1000,90,1
97,1000,1000,90,1
92,1000,1000,90,1
89,1000,1000,90,1
88,252,139,90,1
88,136,141,90,1
88,132,140,90,1
87,0,1000,90,1
86,1000,1000,90,1
84,1000,1000,90,1
83,1000,1000,90,1
78,1000,1000,90,1
78,1000,1000,90,1
93,1000,1000,90,1
96,1000,172,90,1
115,1000,1000,90,1
115,1000,1000,90,1
125,1000,1000,90,1
127,1000,230,90,1
137,1000,1000,90,1
134,1000,1000,90,1
142,1000,1000,90,1
146,179,1000,90,1
166,1000,298,90,1
165,1000,1000,90,1
171,1000,1000,90,1
170,1000,1000,90,1
187,1000,1000,90,1
186,192,1000,90,1
216,1000,1000,90,1
218,1000,284,90,1
252,1000,1000,90,1
249,1000,1000,90,1
260,1000,189,90,1
252,1000,1000,90,1
275,1000,1000,90,1
272,1000,1000,90,1
281,1000,1000,90,1
249,1000,1000,90,1
260,1000,1000,90,1
257,1000,206,90,1
272,1000,1000,90,1
272,1000,181,90,1
284,1000,1000,90,1
266,1000,1000,90,1
272,1000,1000,90,1
257,1000,1000,90,1
266,1000,1000,90,1
278,1000,1000,90,1
275,1000,1000,90,1
269,1000,1000,90,1
281,1000,1000,90,1
284,1000,1000,90,1
288,1000,1000,90,1
294,1000,1000,90,1
294,1000,1000,90,1
291,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,192,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,218,90,1
1000,1000,172,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,180,90,1
1000,1000,1000,90,1
1000,1000,158,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,145,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,0,1000,90,1
1000,1000,1000,90,1
1000,1000,168,90,1
1000,0,1000,90,1
1000,1000,1000,90,1
