Left IR,Front IR,Right IR,Angle,Throttle
116,254,1000,180,1
117,252,1000,180,1
118,252,1000,180,1
118,254,1000,180,1
118,260,1000,180,1
120,252,1000,180,1
109,257,1000,180,1
116,257,1000,180,1
116,284,1000,180,1
114,266,1000,180,1
104,269,1000,180,1
108,166,1000,180,1
101,123,1000,180,1
108,126,1000,180,1
109,121,0,180,1
106,127,1000,180,1
110,158,1000,180,1
106,140,1000,180,1
106,175,1000,180,1
105,1000,1000,180,1
106,1000,1000,180,1
106,1000,1000,180,1
106,1000,1000,180,1
104,1000,1000,180,1
98,1000,1000,180,1
106,1000,1000,180,1
106,1000,1000,180,1
100,1000,1000,180,1
106,1000,1000,180,1
98,1000,1000,180,1
108,1000,1000,180,1
108,1000,1000,180,1
106,1000,1000,180,1
106,1000,1000,180,1
105,1000,1000,180,1
109,1000,1000,180,1
108,-31885,1000,180,1
108,1000,-31885,180,1
108,1000,1000,180,1
108,1000,1000,180,1
106,1000,1000,0,1
111,-31885,1000,0,1
106,1000,1000,0,1
103,1000,1000,0,1
104,1000,1000,0,1
104,1000,1000,0,1
102,1000,1000,0,1
104,1000,1000,0,1
103,1000,0,0,1
102,214,1000,0,1
102,119,1000,0,1
102,112,1000,0,1
102,148,1000,0,1
103,181,1000,0,1
94,232,1000,0,1
104,254,1000,0,1
104,242,1000,180,1
106,224,1000,180,1
106,230,1000,180,1
106,222,1000,180,1
106,224,1000,180,1
106,224,1000,180,1
103,232,1000,180,1
100,232,1000,180,1
102,232,1000,180,1
99,242,1000,180,1
100,242,1000,180,1
94,244,1000,180,1
101,252,1000,180,1
102,247,1000,180,1
98,254,1000,180,1
98,239,1000,180,1
98,244,1000,180,1
99,158,1000,180,1
99,244,1000,180,1
100,242,1000,180,1
96,222,1000,180,1
96,208,1000,180,1
96,206,1000,180,1
97,206,1000,180,1
97,203,1000,180,1
96,184,1000,180,1
96,172,1000,180,1
95,173,1000,180,1
98,148,1000,180,1
95,118,-31885,180,1
96,105,1000,180,1
95,86,1000,180,1
95,90,1000,180,1
94,85,1000,180,1
95,77,1000,180,1
94,89,1000,180,1
93,86,1000,180,1
95,106,0,180,1
96,111,1000,180,1
94,109,1000,180,1
93,108,-31885,180,1
91,135,1000,180,1
92,1000,1000,180,1
91,1000,1000,180,1
91,1000,1000,180,1
92,1000,1000,180,1
