Left IR,Front IR,Right IR,Angle,Throttle
134,167,1000,135,1
133,165,1000,135,1
212,43,1000,135,1
189,44,-31885,135,1
181,42,1000,135,1
181,42,1000,135,1
160,41,1000,135,1
160,40,1000,135,1
140,40,1000,135,1
124,36,1000,135,1
124,41,1000,135,1
115,1000,1000,135,1
96,1000,1000,135,1
94,1000,1000,135,1
88,1000,1000,135,1
84,0,1000,135,1
76,1000,1000,135,1
74,0,1000,135,1
72,1000,1000,135,1
68,129,1000,135,1
66,1000,0,135,1
61,123,1000,135,1
60,1000,1000,135,1
56,1000,1000,135,1
55,0,1000,135,1
56,1000,1000,135,1
53,1000,1000,135,1
52,1000,1000,135,1
51,1000,1000,135,1
50,1000,1000,135,1
49,1000,1000,135,1
50,1000,1000,135,1
47,1000,0,135,1
46,1000,1000,135,1
44,1000,1000,180,1
49,0,1000,180,1
49,-31885,1000,180,1
50,0,1000,180,1
57,0,1000,180,1
60,0,1000,180,1
60,1000,1000,180,1
57,1000,1000,180,1
119,1000,1000,180,1
1000,0,1000,180,1
88,-31885,1000,180,1
89,1000,1000,180,1
145,0,1000,180,1
192,1000,1000,180,1
154,1000,1000,180,1
179,1000,1000,180,1
266,1000,1000,180,1
1000,1000,1000,180,1
1000,0,-31885,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,0,180,1
1000,0,1000,180,1
1000,1000,1000,180,1
1000,1000,-31885,90,1
0,1000,1000,0,1
1000,1000,175,0,1
1000,1000,170,0,1
1000,1000,164,0,1
1000,1000,164,0,1
1000,1000,164,0,1
1000,1000,158,0,1
1000,1000,157,0,1
1000,1000,157,0,1
1000,1000,157,0,1
1000,1000,163,0,1
1000,1000,158,0,1
1000,1000,153,0,1
1000,1000,163,0,1
1000,1000,156,0,1
1000,1000,156,0,1
1000,1000,158,0,1
0,1000,157,0,1
1000,1000,163,0,1
1000,1000,159,0,1
1000,1000,158,0,1
1000,1000,156,0,1
1000,1000,157,0,1
1000,1000,158,0,1
1000,1000,163,0,1
1000,1000,164,0,1
1000,1000,166,45,1
1000,1000,165,45,1
1000,1000,167,0,1
1000,1000,168,0,1
1000,1000,173,0,1
1000,1000,173,0,1
1000,1000,175,0,1
1000,0,177,0,1
1000,1000,173,90,1
1000,1000,180,90,1
1000,1000,179,90,1
1000,1000,173,90,1
1000,1000,173,90,1
1000,1000,175,90,1
1000,1000,173,90,1
0,1000,173,90,1
1000,1000,179,90,1
1000,1000,173,90,1
