Left IR,Front IR,Right IR,Angle,Throttle
173,1000,1000,90,1
173,1000,1000,90,1
173,263,132,90,1
180,263,96,90,1
181,263,132,90,1
176,272,130,90,1
183,244,135,90,1
160,122,189,90,1
163,111,160,90,1
151,111,156,90,1
152,118,145,90,1
154,118,143,90,1
157,89,148,90,1
156,114,150,90,1
156,112,148,90,1
156,111,150,90,1
152,112,149,90,1
151,108,148,90,1
155,108,148,90,1
158,116,145,90,1
158,117,150,90,1
156,114,149,90,1
156,114,149,90,1
152,113,148,90,1
159,119,151,90,1
155,114,151,90,1
154,114,148,90,1
158,110,146,90,1
157,111,144,90,1
160,112,146,90,1
153,114,146,90,1
158,125,100,90,1
157,126,148,90,1
156,110,148,90,1
153,112,145,90,1
156,108,146,90,1
156,108,147,90,1
155,116,145,90,1
152,115,145,90,-1
159,1000,249,90,-1
158,1000,247,90,-1
158,113,146,90,-1
156,111,147,90,-1
154,110,152,90,-1
155,90,151,90,-1
156,126,145,90,-1
155,127,103,90,-1
156,1000,260,90,-1
156,1000,247,90,-1
160,1000,249,90,-1
155,1000,235,90,-1
154,1000,254,90,-1
154,1000,249,90,-1
160,108,168,90,-1
159,107,159,90,-1
151,116,140,90,-1
155,114,144,90,-1
155,118,150,90,-1
154,116,146,90,-1
157,139,146,90,-1
152,139,103,90,-1
157,121,142,90,-1
155,1000,228,90,-1
152,0,137,90,-1
155,218,206,90,-1
148,114,152,90,-1
148,110,146,90,-1
151,122,146,90,-1
151,101,145,90,-1
144,105,146,90,-1
155,103,146,90,-1
151,103,151,90,-1
154,107,149,90,-1
155,108,141,90,-1
155,111,98,90,-1
151,110,150,90,-1
148,96,144,90,-1
150,106,145,90,-1
149,108,103,90,-1
152,98,146,90,-1
152,97,151,90,-1
153,107,100,90,-1
151,106,150,90,-1
149,128,150,90,-1
152,129,145,90,-1
151,114,145,90,-1
155,97,145,90,-1
147,112,146,90,-1
157,109,149,90,-1
146,105,131,90,-1
144,186,132,90,-1
139,189,129,90,-1
152,129,149,90,-1
152,173,148,90,-1
148,173,158,90,-1
154,177,165,90,-1
157,171,175,90,-1
156,179,192,90,1
198,237,263,90,1
196,170,132,90,1
192,168,127,90,1
187,175,130,90,1
198,173,132,90,1
181,168,138,90,1
198,92,162,90,1
142,1000,1000,90,1
137,1000,162,90,1
139,1000,121,90,1
135,1000,1000,90,1
131,1000,1000,90,1
132,1000,1000,90,1
132,1000,1000,90,1
127,1000,1000,90,1
128,1000,247,90,1
125,1000,1000,90,1
126,1000,1000,90,1
124,1000,1000,90,1
125,1000,1000,90,1
121,1000,230,180,1
119,1000,1000,180,1
116,1000,1000,180,1
116,1000,113,180,1
114,1000,1000,180,1
112,1000,1000,180,1
109,210,249,180,1
107,171,1000,180,1
105,171,247,180,1
101,183,291,180,1
103,208,1000,135,1
101,206,1000,135,1
102,206,1000,135,1
102,206,257,135,1
100,205,1000,135,1
102,206,1000,135,1
101,198,1000,135,1
100,198,1000,135,1
102,198,266,180,1
101,190,1000,180,1
101,187,1000,180,1
100,195,244,180,1
103,186,224,180,1
101,181,244,180,1
102,183,224,180,1
103,177,216,180,1
99,160,206,180,1
105,143,203,180,1
105,82,220,180,1
107,79,226,180,1
107,63,239,180,1
105,61,214,180,1
110,52,239,180,1
109,57,252,180,1
111,57,281,180,1
114,55,294,180,1
114,53,275,180,1
116,56,1000,180,1
119,61,1000,180,1
119,76,1000,180,1
122,1000,1000,135,1
120,1000,1000,135,1
121,1000,1000,135,1
121,165,1000,135,1
121,1000,1000,135,1
121,1000,1000,180,1
125,247,1000,135,1
129,1000,1000,135,1
128,1000,1000,135,1
128,1000,1000,135,1
138,1000,167,180,1
131,1000,1000,180,1
131,1000,1000,180,1
135,1000,1000,180,1
133,109,222,180,1
137,112,112,180,1
137,114,165,180,1
138,123,112,180,1
145,1000,1000,180,1
146,1000,1000,180,1
148,1000,1000,180,1
149,1000,1000,180,1
152,1000,1000,180,1
157,1000,1000,180,1
167,1000,1000,180,1
173,1000,1000,180,1
192,1000,1000,180,1
200,0,1000,180,1
244,1000,1000,180,1
260,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
1000,1000,1000,180,1
281,1000,1000,180,1
263,1000,1000,180,1
172,1000,1000,180,1
163,1000,1000,180,1
142,1000,1000,180,1
139,1000,1000,180,1
135,1000,1000,180,1
128,1000,1000,180,1
129,1000,1000,180,1
127,1000,1000,180,1
131,1000,1000,90,1
127,1000,1000,90,1
127,165,159,90,1
131,164,156,90,1
132,141,163,90,1
130,139,151,90,1
133,1000,1000,90,1
133,1000,1000,90,1
131,1000,1000,90,1
129,1000,1000,90,1
132,1000,260,90,1
133,1000,1000,90,1
132,1000,1000,90,1
