Left IR,Front IR,Right IR,Angle,Throttle
205,1000,1000,90,1
212,1000,291,90,1
205,1000,155,90,1
216,1000,257,90,1
210,1000,294,90,1
218,1000,263,90,1
210,1000,291,90,1
222,1000,278,90,1
196,112,195,90,1
206,114,195,45,1
212,125,175,90,1
220,126,176,45,1
208,124,181,45,1
218,1000,298,45,1
218,1000,288,45,1
222,1000,278,45,1
222,1000,294,45,1
203,1000,281,45,1
212,1000,183,45,1
222,1000,275,45,1
214,1000,278,45,1
220,1000,278,45,1
208,1000,272,45,1
218,1000,278,45,1
222,0,281,45,1
220,1000,284,45,1
222,1000,272,45,1
220,1000,294,45,1
212,1000,291,45,1
228,1000,1000,45,1
224,1000,284,45,1
218,1000,278,90,1
212,1000,278,90,1
232,1000,275,90,1
224,269,275,90,1
232,1000,252,90,1
235,1000,252,90,1
242,0,272,90,1
239,1000,257,90,1
242,1000,155,90,1
237,1000,275,90,1
228,1000,266,90,1
230,1000,269,90,1
232,1000,266,90,1
242,1000,222,90,1
254,1000,254,90,1
228,1000,257,90,1
247,1000,281,90,1
247,1000,157,90,1
254,1000,249,90,1
242,1000,228,90,1
249,1000,247,90,1
269,1000,252,90,1
275,1000,247,90,1
254,1000,244,90,1
272,1000,237,90,1
269,1000,239,90,1
278,1000,244,90,1
281,1000,230,90,1
284,1000,222,90,1
272,1000,232,90,1
294,1000,220,90,1
294,1000,212,90,1
1000,1000,214,90,1
1000,1000,195,90,1
1000,1000,198,90,1
1000,1000,195,90,1
1000,1000,193,90,1
1000,1000,186,90,1
1000,1000,172,90,1
1000,263,177,90,1
1000,1000,181,90,1
210,1000,181,90,1
130,266,196,90,1
134,232,192,90,1
142,1000,183,90,1
130,1000,183,90,1
132,1000,168,90,1
135,1000,166,90,1
131,275,163,90,1
128,0,164,90,1
121,224,160,90,1
123,1000,165,90,1
116,1000,162,90,1
113,1000,177,90,1
110,1000,281,90,1
107,111,187,90,1
109,112,187,90,1
109,112,189,90,1
108,113,195,90,1
114,109,179,90,1
200,1000,272,90,1
198,1000,257,90,1
228,1000,249,90,1
226,1000,235,90,1
247,1000,228,90,1
244,1000,216,90,1
249,1000,175,90,1
257,1000,175,90,1
254,1000,165,90,1
244,1000,160,90,1
244,1000,151,90,1
239,1000,140,90,1
224,-31885,115,90,1
230,1000,109,90,1
228,1000,107,90,1
224,1000,110,90,1
224,1000,120,90,1
228,1000,152,90,1
218,1000,184,90,1
226,1000,235,90,1
210,1000,254,90,1
205,1000,247,90,1
222,1000,247,90,1
203,266,235,90,1
220,1000,247,90,1
222,1000,269,90,1
220,1000,260,90,1
216,1000,257,90,1
210,1000,288,90,1
214,-31885,249,90,1
206,1000,263,90,1
220,1000,275,90,1
226,228,260,90,1
224,1000,263,90,1
212,1000,247,90,1
205,1000,263,90,1
220,1000,150,90,1
210,-31885,260,90,1
212,1000,269,90,1
200,1000,281,90,1
214,1000,247,90,1
210,1000,275,90,1
210,1000,252,90,1
224,1000,263,90,1
212,1000,263,45,1
210,1000,257,45,1
