Left IR,Front IR,Right IR,Angle,Throttle
1000,244,44,45,1
1000,1000,46,45,1
1000,193,49,45,1
1000,1000,50,45,1
0,1000,51,45,1
1000,1000,53,45,1
0,1000,56,45,1
1000,1000,59,45,1
0,1000,61,45,1
1000,1000,61,45,1
1000,1000,61,45,1
1000,1000,61,45,1
1000,1000,63,45,1
1000,1000,63,45,1
0,1000,65,45,1
1000,1000,64,45,1
1000,1000,65,45,1
1000,1000,65,45,1
1000,1000,68,45,1
0,1000,68,45,1
1000,1000,68,45,1
1000,1000,68,45,1
1000,1000,72,45,1
1000,1000,71,45,1
1000,1000,73,45,1
1000,1000,74,45,1
1000,1000,74,45,1
1000,1000,76,45,1
1000,1000,75,45,1
1000,1000,76,45,1
1000,1000,78,45,1
1000,1000,79,45,1
1000,1000,81,45,1
1000,1000,82,45,1
1000,1000,82,45,1
1000,1000,82,45,1
1000,1000,84,45,1
1000,1000,83,45,1
1000,1000,87,45,1
0,1000,88,45,1
1000,1000,88,45,1
1000,1000,89,45,1
1000,1000,93,45,1
1000,1000,92,45,1
1000,0,94,45,1
1000,1000,97,45,1
1000,1000,101,45,1
1000,1000,98,45,1
1000,1000,99,45,1
1000,1000,98,45,1
1000,1000,97,45,1
1000,1000,99,45,1
1000,-31885,101,45,1
1000,1000,99,45,1
1000,1000,105,45,1
1000,1000,107,45,1
1000,1000,111,45,1
-31885,1000,109,45,1
1000,1000,110,45,1
1000,1000,109,45,1
1000,1000,109,45,1
1000,1000,114,45,1
1000,1000,86,45,1
1000,1000,110,45,1
1000,1000,112,45,1
1000,1000,111,45,1
1000,1000,115,45,1
1000,1000,85,45,1
1000,1000,112,45,1
1000,1000,87,45,1
1000,1000,108,45,1
0,1000,86,45,1
-31885,1000,109,45,1
1000,1000,108,45,1
1000,1000,106,45,1
1000,1000,109,45,1
1000,1000,110,45,1
1000,1000,112,45,1
1000,1000,116,45,1
1000,1000,118,45,1
1000,0,121,45,1
1000,1000,122,45,1
1000,1000,131,45,1
1000,1000,132,45,1
1000,1000,135,45,1
1000,1000,135,45,1
1000,1000,139,45,1
1000,1000,139,45,1
1000,1000,139,45,1
1000,1000,140,45,1
1000,1000,105,45,1
1000,1000,140,45,1
1000,1000,132,45,1
1000,1000,133,45,1
1000,1000,130,45,1
0,1000,127,45,1
1000,1000,92,45,1
1000,1000,86,45,1
1000,1000,76,45,1
0,1000,62,45,1
1000,1000,69,45,1
1000,1000,58,45,1
0,1000,66,45,1
1000,1000,66,45,1
1000,1000,64,45,1
1000,1000,64,45,1
1000,1000,62,45,1
0,1000,62,45,1
1000,1000,60,45,1
1000,1000,59,45,1
1000,1000,59,45,1
1000,1000,52,45,1
1000,1000,59,45,1
1000,1000,58,45,1
1000,1000,58,45,1
1000,1000,57,45,1
1000,1000,58,45,1
1000,1000,58,45,1
1000,1000,59,45,1
1000,1000,60,45,1
1000,1000,60,45,1
1000,0,60,45,1
1000,1000,61,45,1
1000,1000,61,45,1
1000,1000,61,45,1
1000,1000,62,45,1
1000,1000,65,45,1
1000,1000,65,45,1
1000,1000,71,45,1
1000,1000,72,45,1
1000,1000,79,45,1
1000,1000,82,45,1
1000,1000,106,45,1
1000,1000,140,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,-31885,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,1
1000,1000,1000,90,-1
129,162,1000,90,-1
129,164,1000,180,1
130,156,1000,180,1
132,160,1000,180,1
128,159,-31885,180,1
132,163,1000,180,1
129,163,1000,180,1
129,165,1000,180,1
124,158,1000,90,-1
120,157,1000,90,-1
119,163,1000,90,-1
119,160,1000,90,-1
120,163,1000,90,-1
119,173,1000,90,-1
121,164,1000,180,1
121,171,1000,180,1
143,266,1000,180,1
146,263,1000,180,1
147,260,1000,180,1
146,284,1000,90,1
126,230,1000,90,1
125,235,1000,90,1
110,226,1000,90,1
