Left IR,Front IR,Right IR,Angle,Throttle
69,33,74,90,-1
68,33,74,90,-1
68,33,74,90,-1
70,34,74,90,-1
68,34,75,90,-1
69,34,75,90,-1
67,34,76,90,-1
69,34,76,90,-1
69,33,78,90,-1
63,33,77,90,-1
69,34,77,90,-1
69,30,66,90,-1
69,36,66,90,-1
68,36,80,90,-1
68,36,80,90,-1
69,37,80,90,-1
69,39,78,90,-1
68,38,79,90,-1
69,39,80,90,-1
69,38,79,90,-1
69,38,79,90,-1
69,39,79,90,-1
69,39,81,90,-1
69,39,81,90,-1
68,34,81,90,-1
68,40,81,90,-1
67,40,81,90,-1
69,39,81,90,-1
68,40,79,90,-1
69,41,82,90,-1
64,41,82,90,-1
68,40,83,90,-1
69,42,80,90,-1
69,42,81,90,-1
69,41,82,90,-1
69,41,80,90,-1
69,46,81,90,-1
69,46,84,90,-1
68,46,83,90,-1
69,46,85,90,-1
69,47,83,90,-1
69,39,83,90,-1
69,40,82,90,-1
68,47,81,90,-1
68,47,84,90,-1
69,48,83,90,-1
69,48,83,90,-1
69,48,85,90,-1
69,49,83,90,-1
70,49,84,90,-1
69,48,85,90,-1
68,49,83,90,-1
68,49,84,90,-1
69,50,83,90,-1
69,50,83,90,-1
71,50,83,90,-1
69,50,82,90,-1
70,49,82,90,-1
69,50,82,90,-1
69,50,71,90,-1
70,50,69,90,-1
70,51,83,90,-1
69,52,82,90,-1
69,51,69,90,-1
69,51,84,90,-1
70,52,83,90,-1
69,51,83,90,-1
69,53,83,90,-1
68,55,71,90,-1
70,55,83,90,-1
63,55,83,90,-1
69,56,84,90,-1
68,56,82,90,-1
70,56,83,90,-1
69,56,83,90,-1
69,56,84,90,-1
69,56,83,90,-1
69,55,85,90,-1
69,56,83,90,-1
68,55,81,90,-1
69,56,84,90,-1
64,57,82,90,-1
70,57,82,90,-1
70,58,83,90,-1
71,58,83,90,-1
70,59,82,90,-1
69,58,82,90,-1
69,58,81,90,-1
70,59,81,90,-1
69,59,82,90,-1
70,59,82,90,-1
70,59,80,90,-1
70,60,77,90,-1
69,59,82,90,-1
69,47,83,90,-1
70,60,82,90,-1
70,60,82,90,-1
64,60,82,90,-1
69,61,82,90,-1
69,62,81,90,-1
70,62,82,90,-1
70,62,81,90,-1
69,63,82,90,-1
71,63,82,90,-1
69,65,82,90,-1
71,65,81,90,-1
69,66,82,90,-1
70,67,82,90,-1
71,67,82,90,-1
70,67,82,90,-1
69,68,82,90,-1
70,68,82,90,-1
71,69,82,90,-1
70,69,85,90,-1
70,67,84,90,-1
71,68,83,90,-1
69,68,83,90,-1
69,67,71,90,-1
69,68,83,90,-1
70,68,83,90,-1
71,69,82,90,-1
70,69,83,90,-1
70,70,83,90,-1
69,68,84,90,-1
71,70,83,90,-1
69,55,84,90,-1
69,70,82,90,-1
