Left IR,Front IR,Right IR,Angle,Throttle
272,239,152,45,1
257,109,124,90,1
254,111,125,90,1
284,1000,167,90,1
272,1000,160,90,1
278,172,163,90,1
275,1000,160,90,1
278,1000,165,45,1
272,1000,150,45,1
272,1000,158,45,1
278,1000,148,45,1
284,1000,172,45,1
288,1000,165,45,1
1000,1000,165,45,1
275,1000,167,45,1
291,1000,160,45,1
272,1000,151,45,1
278,1000,160,45,1
266,1000,149,45,1
272,1000,163,45,1
1000,115,158,45,1
291,1000,162,45,1
272,1000,163,45,1
291,1000,150,45,1
278,1000,156,45,1
281,1000,97,45,1
294,1000,172,45,1
1000,1000,165,45,1
298,1000,165,45,1
294,1000,110,45,1
298,1000,170,45,1
1000,1000,148,45,1
1000,1000,170,45,1
291,1000,102,45,1
288,1000,175,45,1
281,1000,171,45,1
284,1000,152,45,1
291,141,156,45,1
298,1000,180,45,1
1000,1000,175,45,1
278,1000,175,45,1
288,1000,173,45,1
1000,1000,196,45,1
247,110,133,90,1
275,113,134,90,1
281,114,164,90,1
294,220,206,90,1
1000,1000,193,90,1
1000,97,170,90,1
1000,1000,186,90,1
275,222,168,90,1
1000,1000,163,90,1
1000,-31885,175,90,1
1000,1000,167,90,1
1000,1000,168,90,1
1000,1000,103,90,1
1000,1000,141,90,1
298,1000,151,90,1
1000,1000,154,90,1
1000,1000,152,90,1
1000,1000,134,90,1
1000,1000,144,90,1
272,1000,150,90,1
294,1000,149,90,1
1000,1000,146,90,1
1000,1000,146,0,1
272,1000,138,0,1
288,1000,121,0,1
284,1000,112,0,1
275,1000,108,45,1
291,1000,81,45,1
275,1000,116,0,1
275,1000,114,0,1
278,1000,116,0,1
266,1000,119,0,1
275,1000,119,90,1
278,1000,127,90,1
294,1000,129,90,1
291,1000,127,90,1
294,1000,131,90,1
288,1000,84,90,1
1000,109,125,90,1
1000,110,128,90,1
275,1000,139,90,1
291,1000,138,90,1
294,1000,131,90,1
298,1000,128,90,1
291,1000,127,90,1
288,1000,125,90,1
294,1000,125,90,1
291,1000,125,90,1
291,1000,126,90,1
1000,1000,126,90,1
281,1000,123,90,1
278,1000,121,90,1
291,1000,122,90,1
1000,1000,125,90,1
291,1000,122,90,1
1000,1000,122,90,1
1000,1000,122,90,1
298,1000,125,90,1
1000,1000,125,90,1
294,1000,125,90,1
1000,1000,125,90,1
1000,1000,129,90,1
298,1000,129,90,1
1000,1000,138,90,1
1000,1000,151,90,1
298,1000,156,90,1
294,1000,163,90,1
291,1000,168,90,1
1000,1000,100,90,1
1000,1000,146,90,1
1000,1000,138,90,1
1000,1000,93,90,1
291,1000,153,90,1
1000,1000,156,90,1
1000,1000,156,90,1
1000,1000,151,90,1
1000,1000,173,90,1
1000,1000,157,90,1
1000,1000,177,90,1
1000,1000,266,90,1
1000,1000,263,90,1
1000,1000,235,90,1
1000,1000,266,90,1
294,1000,252,90,1
298,0,263,90,1
1000,1000,249,90,1
1000,1000,242,90,1
1000,1000,228,90,1
1000,1000,205,90,1
1000,1000,222,90,1
1000,1000,205,90,1
1000,1000,196,90,1
1000,1000,205,90,1
1000,1000,168,90,1
1000,1000,190,90,1
1000,1000,190,90,1
1000,1000,166,90,1
298,1000,184,90,1
1000,1000,176,90,1
260,1000,138,90,1
263,112,146,90,1
1000,1000,198,90,1
1000,1000,193,90,1
1000,1000,192,90,1
1000,1000,180,90,1
1000,1000,192,90,1
1000,1000,198,90,1
1000,1000,200,90,1
1000,1000,190,90,1
1000,1000,176,90,1
1000,1000,102,90,1
1000,1000,186,90,1
1000,1000,173,90,1
1000,1000,190,90,1
1000,1000,111,90,1
1000,114,173,90,1
1000,133,145,90,1
1000,1000,198,90,1
1000,1000,180,90,1
1000,1000,201,90,1
1000,1000,189,90,1
1000,1000,184,90,1
1000,1000,198,90,1
284,111,104,90,1
137,1000,189,90,1
126,154,125,90,1
132,116,135,90,1
96,113,132,90,1
96,114,130,90,1
96,109,130,90,1
99,113,135,90,1
100,114,137,90,1
98,133,135,90,1
93,1000,189,90,1
92,114,140,90,1
95,115,137,90,1
85,1000,189,90,1
83,1000,177,90,1
80,1000,177,90,1
77,1000,163,90,1
76,1000,176,90,1
75,201,136,90,1
102,1000,168,90,1
107,1000,192,90,1
121,1000,156,90,1
125,1000,189,90,1
149,1000,186,90,1
156,1000,167,90,1
203,1000,189,90,1
266,1000,192,90,1
275,1000,192,90,1
278,1000,162,90,1
281,1000,166,90,1
288,1000,105,90,1
288,1000,186,90,1
294,1000,189,90,1
284,1000,195,90,1
284,1000,183,90,1
288,1000,183,90,1
288,1000,167,90,1
288,1000,172,90,1
291,1000,190,90,1
294,1000,210,90,1
284,1000,183,90,1
288,1000,192,90,1
291,1000,184,90,1
291,1000,180,90,1
284,1000,193,90,1
1000,1000,198,90,1
288,111,132,90,1
239,139,132,90,1
298,1000,187,90,1
291,1000,212,90,1
1000,1000,183,90,1
291,1000,114,90,1
288,1000,214,90,1
284,1000,198,90,1
1000,1000,205,90,1
294,1000,189,90,1
1000,1000,201,90,1
