Left IR,Front IR,Right IR,Angle,Throttle
224,1000,127,90,1
226,1000,125,90,1
192,144,80,90,1
226,1000,123,90,1
230,1000,126,90,1
214,1000,123,90,1
232,1000,124,90,1
235,1000,125,90,1
228,1000,130,90,1
226,1000,124,90,1
230,0,125,90,1
228,173,118,90,1
237,179,118,90,1
244,1000,121,90,1
230,1000,122,90,1
230,1000,119,90,1
235,1000,118,90,1
235,1000,123,90,1
230,1000,119,90,1
232,1000,119,90,1
239,1000,120,90,1
254,1000,118,90,1
244,1000,120,90,1
239,1000,119,90,1
239,1000,121,90,1
239,1000,119,90,1
239,-31885,72,90,1
249,1000,122,0,1
239,1000,119,0,1
247,1000,118,90,-1
239,1000,119,90,-1
237,1000,74,90,-1
249,1000,123,90,-1
235,1000,122,90,-1
252,172,118,90,-1
226,172,72,90,-1
242,180,121,0,1
239,162,117,0,1
214,164,118,0,1
230,186,72,0,1
232,184,116,90,-1
239,1000,121,90,-1
237,1000,74,90,-1
249,1000,121,90,-1
232,1000,121,90,-1
230,1000,123,90,-1
254,1000,123,90,-1
226,1000,123,90,-1
220,1000,125,90,-1
226,1000,129,90,-1
226,1000,129,90,-1
230,102,126,0,1
220,121,127,90,-1
224,1000,125,0,1
196,97,121,0,1
224,1000,128,0,1
224,1000,129,0,1
222,1000,80,0,1
222,1000,132,0,1
220,180,132,0,1
222,157,130,0,1
220,1000,132,0,1
203,175,132,0,1
220,203,132,0,1
222,210,133,0,1
222,180,129,0,1
226,132,129,0,1
222,269,126,0,1
218,237,126,0,1
224,284,118,0,1
224,192,121,0,1
222,226,116,0,1
222,216,115,0,1
222,247,113,0,1
228,230,113,0,1
222,247,115,0,1
228,230,113,0,1
228,244,118,0,1
242,111,114,0,1
222,252,129,0,1
228,254,129,0,1
220,272,134,0,1
222,254,136,0,1
230,281,142,0,1
220,257,142,0,1
220,237,162,0,1
235,244,91,0,1
244,257,155,0,1
252,163,155,0,1
263,164,150,0,1
266,175,154,0,1
1000,298,151,0,1
1000,205,148,0,1
1000,1000,143,0,1
1000,1000,147,0,1
1000,1000,146,0,1
1000,1000,150,0,1
1000,1000,144,0,1
-31885,1000,142,0,1
1000,1000,146,90,1
1000,281,144,90,1
1000,1000,144,90,1
1000,1000,141,90,1
1000,1000,143,90,1
1000,254,139,90,1
1000,1000,139,90,1
1000,269,139,90,1
291,1000,141,90,1
284,1000,135,90,1
244,1000,136,90,1
254,1000,136,90,1
230,1000,141,90,1
239,1000,139,90,1
230,1000,134,90,1
224,1000,134,90,1
228,1000,131,90,1
226,1000,136,90,1
226,1000,130,90,1
222,1000,132,90,1
232,1000,129,90,1
237,1000,131,90,1
235,1000,130,90,1
222,1000,127,90,1
218,1000,127,90,1
222,1000,125,90,1
222,1000,129,90,1
214,1000,128,90,1
222,1000,77,90,1
224,1000,77,90,1
226,1000,123,90,1
226,1000,119,90,1
216,1000,120,90,1
226,1000,115,90,1
214,1000,116,90,1
214,1000,116,90,1
220,1000,118,90,1
203,1000,116,90,1
216,1000,115,90,1
216,1000,114,90,1
200,1000,112,90,1
206,1000,113,90,1
208,1000,109,90,1
210,1000,110,90,1
200,1000,107,90,1
203,1000,108,90,1
195,1000,106,90,1
196,1000,107,90,1
203,1000,107,90,1
205,1000,106,90,1
184,1000,105,90,1
190,1000,106,90,1
195,1000,106,90,1
192,1000,106,90,1
190,1000,103,45,1
190,1000,104,45,1
193,1000,103,45,1
190,1000,102,45,1
190,1000,102,45,1
181,1000,102,45,1
181,1000,102,45,1
192,1000,101,45,1
186,1000,68,45,1
196,1000,102,45,1
187,1000,107,45,1
190,1000,109,45,1
186,1000,94,45,1
181,1000,190,45,1
181,1000,222,45,1
183,1000,254,45,1
177,1000,249,45,1
181,1000,239,45,1
184,1000,249,45,1
183,1000,239,45,1
183,1000,1000,45,1
183,1000,125,45,1
175,1000,263,0,1
183,1000,244,0,1
186,208,129,0,1
190,1000,132,90,1
201,298,77,90,1
193,1000,120,90,1
196,1000,119,90,1
190,1000,126,90,1
190,284,126,90,1
193,298,119,90,1
192,1000,128,90,1
183,1000,125,90,1
186,196,125,90,1
176,1000,121,90,1
189,1000,124,90,1
176,1000,125,90,1
164,162,118,90,1
180,189,105,90,1
173,184,105,135,1
186,184,110,135,1
186,184,109,135,1
183,137,109,135,1
176,200,106,135,1
176,203,108,90,1
176,190,105,90,1
176,184,106,90,1
176,181,105,90,1
175,203,106,90,1
173,201,111,90,1
173,224,112,90,1
173,272,115,90,1
168,1000,130,90,1
160,1000,129,90,1
165,1000,130,90,1
159,1000,125,90,1
163,1000,123,90,1
160,1000,133,90,1
158,1000,132,90,1
158,1000,132,90,1
155,1000,138,90,1
159,1000,80,90,1
154,1000,125,90,1
154,1000,126,90,1
150,1000,125,90,1
150,1000,125,90,1
151,1000,129,90,1
144,1000,77,90,1
143,1000,119,90,1
142,1000,128,90,1
142,1000,123,90,1
141,1000,120,90,1
135,1000,134,90,1
135,1000,132,90,1
140,1000,138,90,1
137,1000,130,90,1
137,1000,125,90,1
138,1000,139,90,1
134,1000,135,90,1
132,1000,130,90,1
132,1000,137,90,1
127,1000,136,90,1
129,1000,145,90,1
126,1000,144,90,1
126,1000,146,90,1
126,1000,142,90,1
125,1000,139,90,1
121,1000,141,90,1
124,1000,86,90,1
125,1000,122,90,1
126,235,122,90,1
123,184,107,90,1
121,189,106,90,1
125,192,104,90,1
123,183,105,90,1
125,284,109,90,1
125,288,123,90,1
123,1000,122,90,1
120,298,125,90,1
123,272,119,90,1
120,284,123,90,1
121,272,118,90,1
124,266,123,90,1
117,281,123,90,1
120,284,126,90,1
119,298,129,90,1
118,298,123,90,1
116,1000,124,90,1
119,201,123,90,1
117,220,116,180,1
115,187,121,180,1
118,1000,129,180,1
115,1000,129,180,1
115,1000,137,180,1
117,1000,135,180,1
117,1000,127,180,1
114,1000,129,180,1
115,1000,124,180,1
116,1000,136,180,1
112,1000,143,180,1
115,1000,135,180,1
113,1000,139,180,1
112,1000,123,180,1
115,1000,136,180,1
112,1000,123,180,1
109,1000,129,180,1
110,1000,150,180,1
109,1000,152,180,1
112,1000,136,180,1
112,1000,150,180,1
111,1000,139,180,1
111,1000,84,180,1
109,1000,152,180,1
107,1000,156,180,1
109,1000,146,180,1
107,1000,154,180,1
108,1000,166,180,1
108,298,160,180,1
108,284,75,180,1
107,1000,165,180,1
107,1000,167,180,1
107,275,171,180,1
107,208,135,180,1
105,235,171,180,1
105,228,171,180,1
104,200,171,180,1
105,172,130,180,1
104,189,170,180,1
104,184,183,180,1
99,184,145,180,1
101,200,170,180,1
100,179,139,180,1
100,180,139,180,1
101,216,176,180,1
100,210,176,180,1
101,214,203,180,1
100,206,139,180,1
100,228,189,180,1
102,224,189,180,1
101,210,183,180,1
99,154,181,180,1
99,224,100,180,1
101,228,193,180,1
102,224,168,180,1
101,222,196,180,1
99,228,183,180,1
100,224,165,180,1
101,228,195,180,1
99,228,193,180,1
98,228,205,180,1
101,228,190,180,1
100,226,203,180,1
101,226,196,180,1
101,222,102,180,1
98,228,201,180,1
98,228,201,180,1
98,220,201,180,1
103,226,187,180,1
102,218,203,180,1
100,224,201,180,1
104,222,203,180,1
103,220,198,180,1
106,206,172,180,1
103,200,183,180,1
105,208,203,180,1
101,129,166,180,1
104,173,212,180,1
102,168,200,180,1
105,137,98,180,1
107,127,210,180,1
107,87,212,180,1
105,91,203,180,1
105,69,212,180,1
109,69,210,180,1
115,63,200,180,1
115,64,201,180,1
116,99,166,180,1
118,68,212,180,1
118,1000,206,180,1
118,64,212,180,1
118,92,203,180,1
119,103,196,180,1
121,124,210,180,1
122,99,206,180,1
121,1000,210,90,1
122,177,214,90,1
123,144,206,90,1
123,130,192,90,1
125,139,201,90,1
125,98,210,90,1
125,97,193,90,1
123,116,200,90,1
128,1000,192,90,1
127,1000,205,90,1
146,1000,220,90,1
1000,1000,198,90,1
1000,1000,195,90,1
1000,1000,195,90,1
1000,1000,195,90,1
1000,1000,195,90,1
1000,205,168,90,1
1000,1000,186,90,1
1000,1000,198,90,1
1000,1000,195,90,1
1000,1000,195,90,1
1000,1000,193,90,1
1000,1000,186,90,1
1000,1000,179,90,1
1000,124,163,90,1
1000,125,167,90,1
1000,128,170,90,1
1000,125,162,90,1
1000,102,159,90,1
1000,137,175,90,1
1000,137,164,90,1
1000,1000,195,90,1
1000,1000,187,90,1
1000,1000,196,90,1
1000,1000,187,90,1
1000,1000,201,90,1
1000,1000,198,90,1
1000,278,103,90,1
1000,1000,196,90,1
1000,1000,198,90,1
1000,1000,187,90,1
1000,1000,196,90,1
1000,1000,198,90,1
1000,1000,206,90,1
1000,132,168,90,1
1000,263,180,90,1
1000,1000,193,90,1
212,1000,107,90,1
190,1000,192,90,1
142,1000,208,90,1
137,1000,193,90,1
146,1000,198,90,1
144,1000,201,90,1
142,1000,201,90,1
146,1000,189,90,1
