Left IR,Front IR,Right IR,Angle,Throttle
91,1000,1000,90,1
91,143,96,90,1
94,118,97,90,1
92,122,100,90,1
88,109,94,90,1
94,105,100,90,1
90,133,98,90,1
88,118,66,90,1
90,123,97,90,1
91,116,97,90,1
89,139,96,90,1
91,82,77,90,1
91,81,78,90,1
91,76,80,90,1
88,66,80,90,1
92,76,77,90,1
89,71,78,90,1
87,76,81,90,1
90,75,78,90,1
92,75,76,90,1
93,74,78,90,1
88,75,79,90,1
91,77,79,90,1
92,76,77,90,1
97,74,78,90,1
87,76,77,90,1
86,78,78,90,1
90,77,79,90,1
90,75,78,90,1
88,78,78,90,1
88,55,59,90,1
91,57,60,90,1
89,56,59,90,1
94,55,59,90,1
90,50,60,90,1
92,51,61,90,1
87,57,59,90,1
91,58,58,90,1
95,63,58,90,1
92,66,59,90,1
88,70,60,90,1
90,69,59,90,1
89,74,59,90,1
89,72,59,90,1
87,63,58,90,1
89,71,59,90,1
91,73,60,90,1
88,71,60,90,1
89,71,47,90,1
89,73,59,90,1
93,77,60,90,1
93,74,60,90,1
87,76,60,90,1
88,73,46,90,1
95,76,59,90,1
90,78,60,90,1
89,75,61,90,1
90,77,60,90,1
90,81,59,90,1
88,74,59,90,1
88,78,60,90,1
88,77,59,90,1
90,77,61,90,1
85,81,61,90,1
89,80,59,90,1
90,76,47,90,1
87,79,60,90,1
89,77,61,90,1
85,76,60,90,1
89,81,59,90,1
90,82,59,90,1
91,81,47,90,1
102,79,61,90,1
89,76,61,90,1
88,82,61,90,1
91,80,59,90,1
91,81,60,90,1
90,71,60,90,1
92,83,60,90,1
91,85,60,90,1
91,70,60,90,1
87,84,61,90,1
91,86,61,90,1
94,90,60,90,1
88,90,60,90,1
90,93,59,90,1
88,98,61,90,1
90,94,60,90,1
90,94,60,90,1
91,35,59,90,1
91,36,46,90,1
88,38,58,90,1
90,37,57,90,1
91,37,51,90,1
90,37,58,90,1
90,37,59,90,1
87,37,60,90,1
88,36,59,90,1
89,37,46,90,1
88,37,59,90,1
88,37,58,90,1
93,36,59,90,1
90,37,46,90,1
92,37,59,90,1
89,37,59,45,1
88,37,47,45,1
88,36,58,45,1
102,37,59,45,1
90,88,102,45,1
88,89,99,45,1
92,90,101,45,1
93,96,101,45,1
90,97,106,45,1
92,102,105,45,1
104,100,106,45,1
93,103,105,45,1
92,106,108,45,1
89,104,108,45,1
112,109,107,45,1
92,110,111,45,1
92,112,107,45,1
90,106,108,45,1
90,112,107,45,1
90,109,109,45,1
92,109,110,45,1
114,114,105,45,1
88,109,103,45,1
92,115,105,45,1
90,111,107,45,1
92,114,106,45,1
110,115,108,45,1
92,118,106,45,1
89,114,109,45,1
91,114,108,45,1
110,116,107,45,1
93,111,105,45,1
92,121,110,45,1
87,113,108,45,1
116,121,110,45,1
91,123,108,45,1
92,126,107,45,1
94,125,109,45,1
90,122,111,45,1
87,121,108,45,1
91,119,111,45,1
92,127,105,45,1
96,121,112,45,1
95,121,113,45,1
91,129,112,45,1
86,127,110,45,1
94,127,109,45,1
109,124,112,45,1
91,126,112,45,1
90,121,113,45,1
94,127,114,45,1
91,128,111,45,1
92,128,112,45,1
89,120,114,45,1
105,132,114,45,1
91,132,114,45,1
93,130,114,45,1
91,130,112,45,1
96,121,116,45,1
92,134,116,45,1
89,132,114,45,1
97,138,116,45,1
88,127,115,45,1
92,133,115,45,1
93,129,116,45,1
90,131,114,45,1
