Left IR,Front IR,Right IR,Angle,Throttle
210,34,83,90,-1
205,37,83,90,-1
201,37,84,90,-1
205,37,84,90,-1
200,37,81,90,-1
205,38,84,90,-1
203,38,84,90,-1
203,38,84,90,-1
203,40,83,90,-1
203,43,84,90,-1
203,49,85,90,-1
205,54,85,90,-1
201,57,85,90,-1
205,58,87,90,-1
193,63,84,90,-1
201,64,83,90,-1
203,67,85,90,-1
203,69,85,90,-1
203,73,85,90,-1
203,74,88,90,-1
201,64,86,90,-1
201,82,84,90,-1
203,89,87,90,-1
205,94,87,90,-1
200,98,89,90,-1
203,102,88,90,-1
203,108,85,90,-1
203,110,85,90,-1
203,114,83,90,-1
205,117,65,90,-1
203,119,81,90,-1
203,118,82,90,-1
210,124,82,90,-1
203,124,78,90,-1
210,135,60,90,-1
210,135,55,90,-1
206,140,45,90,-1
210,139,48,90,-1
210,141,49,90,-1
212,149,48,90,-1
212,148,47,90,-1
218,154,47,90,-1
220,166,48,90,-1
206,166,47,90,-1
208,116,48,90,-1
228,176,47,90,-1
228,120,71,90,-1
