Left IR,Front IR,Right IR,Angle,Throttle
1000,150,43,45,1
1000,149,43,45,1
1000,149,43,45,1
1000,150,43,45,1
1000,148,43,45,1
1000,150,43,45,1
1000,158,43,45,1
0,154,39,45,1
1000,168,44,45,1
1000,171,44,45,1
1000,144,44,45,1
-31885,294,46,45,1
1000,1000,46,45,1
1000,1000,47,45,1
1000,1000,42,45,1
0,1000,48,45,1
1000,0,48,45,1
1000,1000,48,45,1
1000,1000,49,45,1
1000,1000,49,45,1
-31885,1000,50,45,1
1000,0,49,45,1
1000,1000,49,45,1
0,1000,51,45,1
1000,1000,45,45,1
1000,1000,52,45,1
1000,1000,53,45,1
1000,1000,53,45,1
1000,1000,48,45,1
1000,1000,55,45,1
1000,1000,56,45,1
1000,1000,56,45,1
1000,1000,56,45,1
1000,1000,56,45,1
0,1000,58,45,1
-31885,1000,60,45,1
-31885,1000,60,45,1
1000,1000,61,45,1
0,1000,62,45,1
1000,1000,63,45,1
1000,-31885,66,45,1
1000,1000,69,45,1
1000,1000,71,45,1
1000,1000,72,45,1
1000,1000,72,45,1
1000,1000,74,45,1
1000,1000,73,45,1
1000,1000,74,45,1
1000,1000,74,45,1
1000,1000,62,45,1
1000,1000,73,45,1
1000,1000,71,45,1
1000,1000,70,45,1
1000,1000,71,45,1
1000,1000,71,45,1
1000,1000,72,45,1
1000,1000,74,45,1
1000,1000,75,45,1
1000,1000,79,45,1
1000,1000,72,45,1
1000,1000,88,45,1
1000,1000,71,45,1
1000,1000,54,45,1
1000,1000,38,45,1
1000,0,38,45,1
1000,1000,38,45,1
1000,1000,38,45,1
1000,1000,39,45,1
1000,1000,39,45,1
1000,1000,39,45,1
-31885,1000,39,45,1
1000,1000,39,45,1
1000,1000,38,45,1
1000,1000,40,45,1
1000,-31885,39,45,1
1000,1000,39,45,1
-31885,1000,39,45,1
1000,1000,40,45,1
1000,1000,40,45,1
1000,1000,39,45,1
1000,1000,39,45,1
0,1000,39,45,1
1000,1000,39,45,1
1000,1000,40,45,1
1000,1000,40,45,1
1000,1000,40,45,1
1000,0,39,45,1
0,1000,40,45,1
1000,1000,34,45,1
1000,1000,31,45,1
1000,1000,33,45,1
1000,1000,33,45,1
1000,1000,33,45,1
1000,1000,33,45,1
1000,1000,33,45,1
-31885,1000,34,45,1
1000,1000,34,45,1
1000,1000,34,45,1
-31885,1000,34,45,1
1000,1000,34,45,1
1000,1000,34,45,1
1000,1000,32,45,1
1000,1000,35,45,1
0,1000,35,45,1
1000,1000,35,45,1
1000,1000,35,45,1
1000,1000,35,45,1
1000,1000,35,45,1
0,1000,32,45,1
1000,1000,35,45,1
0,1000,34,45,1
1000,1000,34,45,1
1000,1000,35,45,1
1000,1000,37,45,1
1000,1000,38,45,1
0,1000,39,45,1
0,1000,40,45,1
1000,1000,42,45,1
1000,1000,44,45,1
1000,1000,50,45,1
1000,1000,54,45,1
1000,1000,76,45,1
1000,1000,116,45,1
1000,1000,172,45,1
1000,1000,249,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,0,45,1
1000,1000,-31885,45,1
1000,1000,1000,45,1
0,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
0,1000,1000,45,1
0,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
