Left IR,Front IR,Right IR,Angle,Throttle
77,1000,1000,90,1
76,1000,1000,90,1
76,1000,1000,90,1
76,1000,1000,90,1
77,1000,1000,90,1
76,1000,1000,90,1
76,1000,1000,90,1
75,1000,1000,45,1
75,-31885,1000,45,1
78,119,106,45,1
77,119,95,45,1
74,117,98,45,1
74,96,92,45,1
79,113,94,45,1
79,125,97,45,1
81,121,97,45,1
78,125,100,45,1
76,1000,1000,45,1
77,1000,1000,45,1
80,125,166,135,1
78,1000,1000,135,1
74,1000,1000,135,1
77,1000,1000,90,1
76,1000,1000,90,1
77,1000,1000,90,1
76,1000,1000,90,1
76,1000,1000,90,1
77,1000,198,90,1
76,1000,1000,90,1
