Left IR,Front IR,Right IR,Angle,Throttle
100,235,278,90,1
104,186,275,90,1
102,1000,266,90,1
103,222,266,90,1
103,1000,249,90,1
103,1000,272,90,1
104,1000,153,90,1
102,1000,260,135,1
102,247,281,135,1
97,1000,272,90,1
96,263,291,90,1
99,1000,260,90,1
101,1000,291,135,1
99,1000,284,90,1
100,1000,1000,90,1
101,1000,288,180,1
98,1000,278,180,1
99,1000,263,135,1
104,1000,252,135,1
104,1000,140,180,1
104,1000,252,180,1
107,1000,244,180,1
106,1000,249,180,1
111,1000,242,180,1
119,142,184,180,1
117,1000,239,180,1
127,1000,135,180,1
133,1000,224,180,1
129,1000,232,90,1
139,1000,228,90,1
134,125,175,90,1
138,126,166,90,1
135,130,183,90,1
142,133,168,90,1
143,127,112,90,1
147,1000,228,90,1
149,1000,226,90,1
152,1000,228,90,1
163,1000,220,90,1
164,1000,224,90,1
166,1000,218,90,1
170,1000,210,90,1
173,1000,218,90,1
181,1000,210,90,1
172,1000,214,90,1
190,1000,203,90,1
196,1000,196,90,1
193,1000,201,90,1
195,1000,123,90,1
198,1000,190,90,1
214,1000,187,90,1
214,1000,189,90,1
208,1000,192,90,1
222,1000,189,90,1
220,1000,184,90,1
249,150,180,90,1
228,1000,190,90,1
214,1000,183,90,1
235,1000,184,45,1
220,1000,183,45,1
228,1000,175,45,1
228,1000,173,45,1
224,1000,170,0,1
220,1000,171,0,1
198,266,114,0,1
196,149,167,0,1
203,1000,179,0,1
187,1000,176,0,1
196,1000,172,0,1
192,1000,172,0,1
190,1000,175,0,1
196,1000,172,0,1
184,1000,168,0,1
192,1000,176,0,1
183,1000,171,0,1
176,-31885,177,0,1
173,114,162,0,1
176,1000,179,0,1
175,1000,180,0,1
170,1000,179,0,1
168,266,153,0,1
170,1000,186,0,1
165,1000,190,0,1
159,1000,184,0,1
160,1000,186,45,1
159,1000,195,45,1
162,1000,193,45,1
158,1000,192,45,1
160,-31885,193,45,1
164,1000,186,45,1
163,1000,192,45,1
159,1000,201,45,1
164,1000,192,45,1
163,1000,192,45,1
162,1000,192,90,1
165,1000,203,90,1
164,1000,196,90,1
166,1000,189,90,1
171,1000,186,0,1
162,1000,184,45,1
166,1000,186,0,1
165,1000,184,0,1
160,1000,183,0,1
160,1000,190,0,1
160,1000,190,0,1
156,1000,195,0,1
159,1000,190,0,1
160,1000,192,0,1
159,1000,189,0,1
160,1000,190,0,1
156,1000,192,0,1
156,1000,196,0,1
156,1000,190,90,1
156,0,201,90,1
163,1000,212,90,1
160,1000,196,90,1
160,1000,120,90,1
156,1000,203,90,1
162,1000,190,90,1
154,1000,200,90,1
159,1000,196,90,1
158,1000,201,90,1
163,-31885,195,90,1
158,1000,196,90,1
162,1000,195,90,1
160,1000,192,90,1
154,1000,198,90,1
158,1000,198,90,1
166,1000,196,90,1
160,1000,208,90,1
162,1000,186,90,1
165,1000,206,90,1
160,1000,201,90,1
157,1000,201,90,1
158,1000,208,90,1
164,1000,201,90,1
160,1000,196,90,1
162,1000,203,90,1
162,1000,200,90,1
166,1000,193,90,1
159,1000,196,90,1
165,97,106,90,1
164,129,160,90,1
166,131,156,90,1
167,1000,195,90,1
150,1000,121,90,1
162,1000,193,90,1
159,1000,195,90,1
163,1000,201,90,1
159,1000,150,90,1
159,1000,190,90,1
162,1000,190,90,1
160,1000,193,90,1
159,1000,195,90,1
162,1000,121,90,1
158,1000,184,90,1
162,1000,201,90,1
164,1000,190,90,1
160,232,198,90,1
162,146,159,90,1
160,1000,195,90,1
155,1000,123,90,1
159,1000,200,90,1
159,1000,193,90,1
156,109,172,90,1
162,1000,201,90,1
160,1000,190,90,1
158,1000,190,90,1
162,1000,192,90,1
164,1000,196,90,1
160,1000,193,90,1
160,1000,195,90,1
159,1000,203,90,1
160,1000,195,90,1
166,139,160,90,1
159,1000,196,90,1
158,1000,198,90,1
160,1000,117,90,1
160,1000,196,90,1
158,1000,196,90,1
160,1000,190,90,1
159,1000,192,90,1
163,136,104,90,1
163,1000,195,90,1
160,1000,196,90,1
163,1000,123,90,1
156,1000,193,90,1
159,1000,190,90,1
159,1000,193,90,1
160,1000,124,90,1
155,1000,196,90,1
156,0,189,90,1
163,1000,114,90,1
164,-31885,198,90,1
157,1000,121,90,1
156,1000,196,90,1
156,1000,124,90,1
155,1000,190,90,1
160,1000,187,90,1
156,1000,189,90,1
162,0,190,90,1
160,0,192,90,1
163,0,190,90,1
159,1000,190,90,1
163,1000,187,90,1
162,1000,186,90,1
158,1000,183,90,1
158,1000,181,90,1
160,1000,193,90,1
159,1000,183,90,1
158,1000,189,90,1
162,1000,152,90,1
160,1000,176,90,1
160,1000,180,90,1
