Left IR,Front IR,Right IR,Angle,Throttle
1000,41,1000,135,1
263,49,1000,135,1
263,46,1000,135,1
228,49,1000,135,1
249,51,1000,135,1
242,52,1000,135,1
249,51,1000,135,1
249,51,208,135,1
242,51,1000,135,1
242,51,1000,135,1
176,51,1000,135,1
144,61,1000,135,1
187,64,1000,135,1
175,63,1000,135,1
189,63,1000,135,1
176,69,206,135,1
196,89,1000,135,1
1000,91,1000,135,1
275,88,1000,135,1
1000,106,1000,135,1
1000,105,1000,135,1
1000,146,1000,135,1
1000,163,1000,135,1
1000,235,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,201,135,1
1000,1000,1000,135,1
1000,1000,201,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,0,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,200,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,198,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,-31885,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,0,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
0,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,0,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
266,1000,1000,135,1
239,1000,1000,135,1
210,1000,1000,135,1
171,1000,1000,135,1
137,1000,1000,135,1
111,1000,1000,135,1
104,1000,1000,135,1
77,1000,1000,135,1
68,1000,1000,135,1
62,1000,192,135,1
36,1000,1000,135,1
36,1000,1000,135,1
35,1000,1000,135,1
36,1000,1000,135,1
36,1000,1000,135,1
35,1000,1000,135,1
35,1000,1000,135,1
35,0,1000,135,1
34,1000,1000,135,1
35,1000,1000,135,1
35,1000,1000,135,1
36,1000,1000,135,1
36,0,1000,135,1
37,146,1000,135,1
38,135,1000,135,1
40,125,1000,135,1
41,144,1000,135,1
41,152,1000,135,1
42,162,1000,135,1
42,281,1000,135,1
43,1000,1000,135,1
44,0,1000,135,1
47,0,1000,135,1
48,-31885,1000,135,1
51,1000,1000,135,1
56,0,1000,135,1
60,1000,193,135,1
61,1000,291,135,1
62,1000,1000,135,1
63,1000,1000,135,1
63,1000,1000,135,1
64,1000,291,135,1
65,1000,284,135,1
64,1000,1000,135,1
63,1000,294,135,1
63,1000,288,135,1
62,1000,1000,135,1
62,138,1000,135,1
63,126,284,135,1
63,222,291,135,1
63,160,294,135,1
63,266,284,135,1
62,278,291,135,1
61,1000,1000,135,1
62,201,291,135,1
63,1000,288,135,1
62,1000,177,135,1
63,1000,294,135,1
62,0,288,135,1
59,123,288,135,1
62,156,294,135,1
63,168,284,135,1
62,186,168,135,1
62,1000,294,135,1
62,1000,269,135,1
60,1000,291,135,1
57,1000,288,135,1
53,1000,288,135,1
51,1000,281,135,1
49,1000,272,135,1
46,1000,281,135,1
45,1000,281,135,1
45,1000,175,135,1
43,102,278,135,1
43,112,278,135,1
42,198,173,135,1
42,119,272,135,1
36,150,275,135,1
35,1000,275,135,1
35,1000,263,135,1
34,1000,257,135,1
35,1000,263,135,1
34,1000,266,135,1
37,1000,263,135,1
39,1000,263,135,1
43,1000,263,135,1
44,1000,269,135,1
54,1000,260,135,1
66,1000,263,135,1
110,1000,269,135,1
143,1000,291,135,1
1000,1000,272,135,1
1000,1000,269,135,1
1000,1000,263,135,1
1000,1000,263,135,1
1000,0,266,135,1
1000,1000,167,135,1
1000,1000,266,135,1
1000,-31885,263,135,1
1000,1000,263,135,1
1000,0,266,135,1
1000,0,275,135,1
1000,1000,275,135,1
1000,1000,163,135,1
1000,1000,269,135,1
1000,1000,266,135,1
1000,1000,247,135,1
1000,1000,249,0,1
1000,98,78,0,1
1000,97,77,0,1
1000,97,77,0,1
1000,99,78,0,1
1000,198,77,0,1
1000,206,77,0,1
1000,200,76,0,1
1000,98,75,0,1
1000,96,75,0,1
1000,99,74,0,1
1000,100,72,0,1
1000,101,73,0,1
1000,101,72,0,1
1000,102,69,0,1
1000,102,69,0,1
1000,104,68,0,1
1000,104,68,0,1
1000,103,67,0,1
1000,114,67,0,1
1000,110,65,0,1
1000,111,65,0,1
1000,114,64,0,1
1000,114,64,0,1
1000,116,62,0,1
1000,116,63,0,1
1000,266,61,0,1
1000,122,61,0,1
1000,129,61,0,1
1000,129,61,0,1
1000,137,59,0,1
1000,147,59,0,1
1000,162,56,0,1
1000,172,56,0,1
1000,198,55,0,1
1000,206,54,0,1
1000,224,53,0,1
1000,232,53,0,1
1000,1000,47,0,1
1000,1000,53,0,1
1000,0,53,0,1
0,1000,54,0,1
1000,1000,55,0,1
1000,0,54,0,1
1000,1000,55,0,1
1000,0,55,0,1
1000,1000,55,0,1
1000,1000,55,0,1
1000,1000,55,0,1
1000,1000,49,0,1
1000,1000,57,0,1
1000,1000,57,0,1
1000,1000,58,0,1
1000,1000,59,0,1
1000,1000,59,0,1
1000,1000,60,0,1
1000,1000,61,0,1
1000,196,73,0,1
1000,212,71,0,1
1000,208,70,0,1
1000,152,70,0,1
1000,208,69,0,1
1000,216,69,0,1
1000,239,67,0,1
1000,235,67,0,1
1000,257,65,0,1
1000,260,54,0,1
1000,269,53,0,1
1000,284,65,0,1
1000,288,64,0,1
1000,1000,62,0,1
1000,1000,64,0,1
1000,1000,61,0,1
1000,1000,61,0,1
1000,1000,59,0,1
1000,1000,59,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,110,109,0,1
1000,109,108,0,1
1000,109,107,0,1
1000,108,105,0,1
1000,108,100,0,1
1000,150,98,0,1
1000,242,93,0,1
1000,247,93,0,1
1000,239,90,0,1
1000,249,91,0,1
1000,119,86,0,1
1000,116,87,0,1
1000,120,66,0,1
1000,127,80,0,1
1000,139,73,0,1
1000,146,73,0,1
1000,154,58,0,1
1000,162,68,0,1
1000,1000,67,0,1
1000,1000,65,0,1
1000,1000,64,0,1
1000,1000,63,0,1
1000,1000,62,0,1
1000,1000,62,0,1
1000,1000,61,0,1
1000,1000,61,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,1000,60,0,1
1000,0,59,0,1
1000,1000,61,0,1
1000,0,60,0,1
1000,1000,94,0,1
1000,1000,94,0,1
1000,1000,94,0,1
1000,1000,75,0,1
1000,1000,94,0,1
1000,1000,94,0,1
1000,1000,94,0,1
1000,1000,91,0,1
1000,1000,73,0,1
1000,1000,88,0,1
1000,1000,88,0,1
1000,1000,87,0,1
1000,1000,87,0,1
1000,1000,87,0,1
1000,1000,85,0,1
1000,1000,86,0,1
1000,1000,86,0,1
1000,1000,88,0,1
1000,1000,88,0,1
1000,1000,88,0,1
1000,1000,88,0,1
1000,1000,89,0,1
1000,1000,89,0,1
1000,1000,91,0,1
1000,1000,90,0,1
1000,1000,90,0,1
1000,1000,93,0,1
1000,-31885,92,0,1
1000,1000,91,0,1
1000,1000,95,0,1
1000,0,94,0,1
1000,1000,94,0,1
1000,1000,96,0,1
1000,1000,98,0,1
1000,0,100,0,1
1000,-31885,99,0,1
1000,1000,100,0,1
1000,1000,100,0,1
1000,0,78,0,1
1000,1000,87,0,1
1000,1000,88,0,1
1000,1000,88,0,1
1000,1000,89,0,1
1000,1000,88,0,1
0,1000,71,0,1
1000,1000,90,0,1
1000,1000,89,0,1
1000,1000,72,0,1
1000,1000,90,0,1
1000,1000,90,0,1
1000,1000,91,0,1
1000,257,91,0,1
1000,1000,91,0,1
1000,1000,91,0,1
1000,1000,91,0,1
1000,1000,91,0,1
1000,1000,90,0,1
1000,1000,90,0,1
1000,1000,90,0,1
-31885,1000,89,0,1
1000,1000,89,0,1
1000,1000,71,0,1
1000,1000,88,0,1
1000,1000,87,0,1
1000,1000,87,0,1
1000,1000,86,0,1
1000,1000,87,0,1
1000,1000,70,0,1
1000,1000,86,0,1
0,1000,87,0,1
