Left IR,Front IR,Right IR,Angle,Throttle
281,230,1000,135,1
288,230,1000,135,1
284,210,1000,135,1
288,237,1000,135,1
281,205,288,135,1
284,190,1000,135,1
284,193,1000,135,1
291,183,1000,135,1
1000,186,1000,135,1
291,179,1000,90,1
1000,214,1000,135,1
298,205,1000,135,1
291,224,1000,135,1
281,138,1000,135,1
281,214,1000,135,1
1000,170,1000,135,1
284,222,1000,135,1
1000,167,1000,135,1
298,230,1000,135,1
291,170,1000,135,1
288,216,1000,135,1
1000,208,1000,135,1
298,208,1000,135,1
266,163,1000,135,1
291,201,1000,135,1
291,206,1000,135,1
1000,210,1000,135,1
1000,160,1000,135,1
1000,158,1000,135,1
1000,186,1000,135,1
291,208,1000,135,1
298,210,1000,135,1
298,206,1000,135,1
1000,146,1000,135,1
1000,190,1000,135,1
284,205,1000,135,1
294,203,1000,135,1
1000,216,1000,135,1
1000,189,1000,135,1
1000,183,1000,135,1
1000,183,1000,135,1
1000,183,1000,135,1
1000,139,1000,135,1
284,146,1000,135,1
1000,139,1000,135,1
1000,205,1000,135,1
298,196,1000,135,1
1000,192,1000,135,1
1000,195,1000,135,1
1000,180,1000,135,1
1000,179,1000,135,1
1000,183,1000,135,1
1000,128,1000,135,1
1000,129,1000,135,1
1000,106,1000,135,1
1000,126,1000,135,1
1000,122,1000,135,1
1000,115,1000,135,1
230,116,1000,135,1
145,94,1000,135,1
1000,107,1000,135,1
1000,101,1000,135,1
1000,99,1000,135,1
1000,97,1000,135,1
1000,96,1000,135,1
80,94,1000,135,1
77,90,1000,135,1
71,88,1000,135,1
69,77,1000,135,1
68,84,1000,135,1
66,84,1000,135,1
64,72,1000,135,1
46,109,263,135,1
46,111,195,135,1
47,108,177,135,1
47,140,184,135,1
47,1000,186,135,1
48,1000,205,135,1
48,1000,179,135,1
48,109,212,135,1
48,128,141,135,1
48,146,216,135,1
49,128,214,135,1
51,179,1000,135,1
51,175,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
0,1000,232,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,135,1
1000,1000,1000,0,1
1000,88,165,0,1
1000,87,160,0,1
1000,88,164,0,1
1000,89,157,0,1
1000,88,156,0,1
1000,85,146,0,1
1000,85,146,0,1
1000,85,135,0,1
1000,85,135,0,1
1000,87,126,0,1
1000,86,125,0,1
1000,75,120,0,1
1000,86,119,0,1
1000,86,114,0,1
1000,85,115,0,1
1000,86,110,0,1
1000,85,110,0,1
1000,98,62,0,1
1000,103,50,0,1
1000,106,55,0,1
1000,106,54,0,1
1000,110,51,0,1
1000,112,51,0,1
1000,118,48,0,1
1000,122,47,0,1
1000,128,45,0,1
1000,126,41,0,1
1000,130,44,0,1
1000,136,43,0,1
1000,142,42,0,1
1000,141,41,0,1
1000,153,41,0,1
1000,151,41,0,1
1000,168,40,0,1
1000,168,39,0,1
1000,183,38,0,1
1000,183,39,0,1
1000,208,37,0,1
1000,206,37,0,1
1000,244,37,0,1
1000,266,37,0,1
1000,294,34,0,1
1000,291,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,36,0,1
1000,1000,35,0,1
1000,1000,36,0,1
1000,1000,34,0,1
1000,1000,36,0,1
1000,0,34,0,1
1000,1000,37,0,1
1000,1000,37,0,1
1000,1000,37,90,1
1000,1000,34,90,1
1000,1000,37,90,1
1000,1000,37,90,1
