Left IR,Front IR,Right IR,Angle,Throttle
1000,232,132,45,1
1000,226,135,45,1
1000,235,132,45,1
1000,230,137,45,1
1000,254,103,45,1
1000,1000,141,45,1
1000,1000,145,45,1
1000,1000,143,45,1
1000,1000,142,45,1
1000,1000,152,45,1
1000,1000,154,45,1
1000,1000,156,45,1
1000,1000,160,45,1
1000,1000,156,45,1
1000,1000,156,45,1
1000,0,139,45,1
0,1000,136,45,1
1000,0,134,45,1
1000,1000,99,45,1
1000,1000,119,45,1
1000,1000,120,45,1
1000,1000,119,45,1
1000,1000,119,45,1
1000,1000,115,45,1
1000,1000,117,45,1
1000,1000,118,45,1
1000,1000,119,45,1
1000,1000,125,45,1
1000,1000,127,45,1
1000,1000,145,45,1
1000,1000,184,45,1
1000,1000,176,45,1
1000,1000,166,45,1
1000,1000,151,45,1
1000,1000,145,45,1
1000,1000,136,45,1
1000,1000,128,45,1
1000,1000,121,45,1
1000,1000,125,45,1
1000,1000,116,45,1
1000,1000,114,45,1
1000,1000,114,45,1
1000,1000,114,45,1
1000,0,111,45,1
1000,1000,112,45,1
1000,1000,109,45,1
1000,1000,107,45,1
1000,1000,86,45,1
1000,1000,108,45,1
1000,1000,105,45,1
1000,1000,82,45,1
1000,1000,102,45,1
1000,1000,104,45,1
-31885,1000,99,45,1
1000,1000,101,45,1
1000,1000,99,45,1
1000,1000,98,45,1
1000,1000,97,45,1
0,1000,96,45,1
1000,1000,91,45,1
1000,1000,90,45,1
1000,1000,88,45,1
0,1000,90,45,1
1000,1000,84,45,1
1000,1000,68,45,1
1000,1000,81,45,1
1000,1000,82,45,1
1000,1000,79,45,1
1000,0,79,45,1
1000,1000,78,45,1
1000,1000,62,45,1
1000,1000,62,45,1
1000,1000,61,45,1
1000,1000,55,45,1
1000,1000,54,45,1
1000,0,48,45,1
1000,1000,47,45,1
1000,1000,38,45,1
1000,1000,36,45,1
1000,1000,60,45,1
1000,1000,60,45,1
1000,1000,64,45,1
1000,1000,63,45,1
0,1000,65,45,1
1000,1000,64,45,1
1000,1000,64,45,1
1000,1000,65,45,1
1000,1000,65,45,1
1000,1000,65,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,0,1000,45,1
1000,1000,1000,45,1
0,1000,1000,45,1
0,1000,1000,45,1
-31885,1000,1000,45,1
0,1000,1000,45,1
0,1000,1000,45,1
1000,1000,0,45,1
1000,1000,1000,45,1
0,1000,1000,45,1
1000,1000,47,45,1
1000,1000,47,45,1
1000,1000,47,45,1
1000,1000,48,45,1
1000,1000,48,45,1
1000,1000,48,45,1
1000,1000,47,45,1
1000,195,48,45,1
1000,193,48,45,1
1000,184,49,45,1
1000,184,43,45,1
1000,136,50,45,1
1000,190,44,45,1
1000,180,52,45,1
1000,179,52,45,1
1000,130,54,45,1
1000,179,55,45,1
1000,172,57,45,1
1000,172,57,45,1
1000,173,58,45,1
1000,171,59,45,1
1000,163,62,45,1
1000,165,64,45,1
1000,162,66,45,1
1000,157,68,45,1
1000,156,72,45,1
1000,153,74,45,1
1000,153,79,45,1
1000,155,67,45,1
1000,151,85,45,1
1000,149,87,45,1
1000,144,92,45,1
1000,147,92,45,1
-31885,112,97,45,1
1000,142,100,45,1
1000,175,92,45,1
1000,210,92,45,1
1000,1000,88,45,1
1000,1000,91,45,1
1000,1000,109,45,1
1000,1000,112,45,1
1000,1000,125,45,1
1000,1000,129,45,1
1000,1000,109,45,1
1000,1000,105,45,1
1000,1000,92,45,1
1000,1000,90,45,1
1000,1000,85,45,1
1000,1000,81,45,1
1000,1000,75,45,1
1000,1000,74,45,1
1000,1000,70,45,1
1000,1000,67,45,1
1000,1000,55,45,1
1000,1000,61,45,1
1000,1000,58,45,1
1000,1000,57,45,1
1000,1000,53,45,1
1000,1000,53,45,1
1000,1000,50,45,1
1000,1000,47,45,1
1000,1000,44,45,1
1000,1000,43,45,1
1000,1000,36,45,1
1000,1000,39,45,1
1000,1000,37,45,1
1000,1000,35,45,1
1000,1000,35,45,1
1000,1000,34,45,1
1000,1000,31,45,1
1000,1000,33,45,1
0,1000,33,45,1
1000,1000,33,45,1
1000,1000,32,45,1
1000,1000,38,45,1
0,1000,43,45,1
1000,1000,57,45,1
0,1000,249,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
1000,1000,58,45,1
1000,1000,70,45,1
1000,214,70,45,1
1000,1000,76,45,1
1000,1000,76,45,1
1000,1000,78,45,1
1000,1000,78,45,1
1000,1000,83,45,1
1000,192,84,45,1
1000,210,76,45,1
1000,1000,96,45,1
1000,1000,112,45,1
1000,1000,112,45,1
1000,1000,105,45,1
1000,1000,99,45,1
1000,1000,149,45,1
1000,1000,166,45,1
1000,1000,136,45,1
1000,1000,109,45,1
1000,1000,107,45,1
1000,1000,94,45,1
1000,1000,91,45,1
1000,1000,83,45,1
1000,1000,79,45,1
1000,1000,73,45,1
1000,1000,70,45,1
1000,1000,62,45,1
1000,1000,60,45,1
1000,1000,53,45,1
1000,1000,51,45,1
1000,1000,42,45,1
1000,1000,38,45,1
1000,1000,39,45,1
1000,1000,60,45,1
1000,1000,1000,45,1
1000,1000,1000,45,1
0,1000,1000,45,1
1000,1000,38,45,1
1000,1000,46,45,1
1000,1000,49,45,1
1000,1000,59,45,1
1000,1000,65,45,1
0,1000,75,45,1
1000,1000,80,45,1
1000,1000,91,45,1
1000,1000,94,45,1
1000,1000,107,45,1
1000,1000,112,45,1
1000,1000,128,45,1
1000,1000,154,45,1
1000,1000,167,45,1
1000,1000,139,45,1
1000,1000,107,45,1
1000,1000,87,45,1
1000,1000,118,45,1
1000,1000,125,45,1
1000,1000,92,45,1
1000,1000,115,45,1
1000,1000,115,45,1
1000,281,114,45,1
1000,298,111,45,1
1000,284,109,45,1
1000,284,109,45,1
1000,294,107,45,1
1000,291,107,45,1
1000,298,109,45,1
1000,1000,107,45,1
1000,1000,111,45,1
1000,1000,119,45,1
1000,1000,121,45,1
1000,1000,122,45,1
-31885,1000,121,45,1
1000,1000,111,45,1
1000,1000,109,45,1
0,1000,107,45,1
1000,1000,88,45,1
1000,1000,147,45,1
1000,1000,163,45,1
1000,1000,163,45,1
1000,1000,147,45,1
0,1000,121,45,1
0,1000,119,45,1
1000,1000,107,45,1
0,1000,105,45,1
1000,1000,94,45,1
1000,1000,92,45,1
