Left IR,Front IR,Right IR,Angle,Throttle
156,1000,1000,90,1
153,102,166,90,1
158,105,159,90,1
162,105,164,90,1
152,106,167,90,1
148,90,163,90,1
158,106,254,90,1
156,1000,1000,90,1
150,138,291,90,1
156,106,156,90,1
158,146,1000,90,1
158,124,1000,90,1
151,135,1000,90,1
149,179,1000,90,1
154,138,298,90,1
154,92,1000,90,1
155,1000,1000,90,1
147,116,1000,90,1
150,123,298,90,1
157,103,158,90,1
159,123,164,90,1
159,99,1000,90,1
163,206,1000,90,1
156,123,1000,90,1
158,148,1000,90,1
156,137,1000,90,1
160,1000,1000,90,1
158,1000,1000,90,1
159,1000,1000,90,1
160,1000,1000,90,1
163,1000,1000,180,1
158,1000,1000,180,1
167,260,298,180,1
170,189,291,180,1
175,1000,1000,180,1
171,1000,1000,180,1
180,1000,284,180,1
180,142,272,180,1
195,1000,288,180,1
195,1000,1000,180,1
257,1000,144,180,1
269,109,179,180,1
272,111,192,180,1
254,136,190,180,1
288,132,181,135,1
1000,136,146,135,1
1000,1000,272,135,1
1000,1000,266,135,1
1000,1000,1000,180,1
1000,1000,272,180,1
1000,1000,294,180,1
1000,1000,272,180,1
1000,1000,148,180,1
1000,1000,162,180,1
171,1000,275,180,1
163,1000,275,180,1
139,1000,284,180,1
135,160,171,180,1
139,1000,260,180,1
138,1000,176,180,1
149,1000,281,180,1
155,1000,291,180,1
160,1000,278,180,1
158,1000,272,180,1
158,-31885,242,180,1
154,1000,266,180,1
159,1000,272,180,1
159,1000,275,180,1
158,1000,278,180,1
158,1000,146,180,1
151,1000,263,180,1
157,0,266,180,1
153,1000,257,90,1
152,1000,278,90,1
146,1000,278,90,1
148,1000,275,90,1
143,1000,272,90,1
140,1000,275,90,1
134,1000,269,90,1
141,1000,263,90,1
135,1000,269,90,1
133,1000,257,90,1
127,1000,249,90,1
125,1000,254,90,1
119,1000,247,90,1
119,1000,263,90,1
112,1000,239,90,1
114,1000,247,90,1
109,1000,239,90,1
106,1000,252,90,1
99,1000,244,90,1
99,1000,266,135,1
128,1000,235,135,1
127,1000,242,135,1
144,1000,226,135,1
144,1000,247,135,1
160,1000,244,135,1
164,1000,214,135,1
177,1000,232,135,1
176,1000,244,135,1
184,1000,230,135,1
192,1000,232,135,1
201,1000,237,135,1
203,1000,218,135,1
1000,1000,226,135,1
239,1000,222,135,1
230,1000,222,135,1
249,1000,222,135,1
257,1000,230,135,1
260,1000,212,135,1
281,1000,206,135,1
281,108,121,135,1
275,1000,198,135,1
272,1000,195,135,1
272,1000,177,135,1
263,1000,183,135,1
260,1000,189,135,1
257,1000,183,135,1
266,1000,180,135,1
260,1000,181,135,1
260,1000,184,135,1
257,1000,189,135,1
281,1000,177,135,1
254,1000,187,135,1
252,1000,184,90,1
249,1000,184,90,1
254,1000,193,90,1
252,1000,179,90,1
252,1000,187,90,1
252,1000,176,90,1
249,1000,183,90,1
254,1000,176,90,1
257,1000,175,90,1
263,1000,175,90,1
254,1000,172,90,1
249,1000,173,90,1
269,1000,165,90,1
254,1000,165,90,1
244,1000,171,90,1
249,1000,173,90,1
257,1000,167,90,1
252,242,163,90,1
252,1000,171,90,1
249,1000,165,90,1
266,1000,171,90,1
244,1000,171,90,1
252,1000,165,90,1
249,1000,162,90,1
257,1000,165,90,1
239,1000,167,90,1
257,1000,168,90,1
254,1000,166,90,1
257,1000,166,90,1
260,1000,162,90,1
